name,dir,status,ef,nelect,nkpts,nbands,n_pairs,n_kpts_used,sse_max,sse_p99,sse_p95,sse_p90,sse_p50,sse_mean_w,sse_kmax_mean_w,sse_max_over_p95,sse_max_win_both,sse_max_win_either,band,k_id,kx,ky,kz,e_up,e_dn,k_weight_at_max,eigenval,outcar
NiS,final_structure/NiS,ok,6.8807,32,1460,24,3380,1457,0.8706759999999996,0.7435039999999997,0.6175189999999997,0.4943180000000007,0.14433500000000077,0.1963577846073144,0.235402753999031,1.4099582361028566,0.8706759999999996,0.8706759999999996,16,609,-0.3333333,0.3333333,0.2222222,6.281559,5.410883,0.0006858711,EIGENVAL,OUTCAR
CoS,final_structure/CoS,ok,6.7163,30,1460,24,4672,1460,1.0824359999999995,0.8216490000000007,0.5609120000000001,0.45625099999999996,0.08861399999999975,0.15798877459050364,0.23442276204958024,1.929778646204751,1.0824359999999995,1.0824359999999995,14,597,0.0,0.3333333,0.2222222,5.213966,6.296402,0.0006858711,EIGENVAL,OUTCAR
CoO_sp,final_structure/CoO_sp,ok,7.4065,30,364,24,978,364,0.9734540000000003,0.9239670000000002,0.7036050000000005,0.5645689999999997,0.18930300000000067,0.2443604863477414,0.396317138132931,1.383523425785774,0.9734540000000003,0.9734540000000003,15,271,-1.387779e-17,-0.2727273,0.3333333,6.147741,7.121195,0.002754821,EIGENVAL,OUTCAR
FeS,final_structure/FeS,ok,6.1769,28,1446,48,2256,1446,1.3548479999999996,1.1680900000000003,0.8878959999999996,0.7289469999999998,0.20605899999999977,0.29927529954408744,0.39545706812761683,1.5259084397271756,1.3548479999999996,1.3548479999999996,14,1217,-6.938894e-18,-0.2941176,0.4,5.877501,4.522653,0.0006920415,EIGENVAL,OUTCAR
FeAs,final_structure/FeAs,ok,5.4896,26,436,48,777,429,1.402301,1.3483459999999998,1.0432270000000003,0.8045170000000001,0.08855800000000036,0.28182866853321414,0.37117884360508735,1.3441954627324633,1.402301,1.402301,13,215,-0.3333333,-0.08333333,0.1666667,3.610553,5.012854,0.002314815,EIGENVAL,OUTCAR
CrS,final_structure/CrS,ok,2.6157,36,506,24,2631,506,0.443225,0.34600800000000004,0.28374,0.23228000000000004,0.08677500000000005,0.10521285114503817,0.19993043849206352,1.5620814830478607,0.4106089999999999,0.443225,14,117,0.5,0.25,0.1428571,0.936164,0.492939,0.001984127,EIGENVAL,OUTCAR
