filename,avg_bond_length,max_bond_length,min_bond_length,std_bond_length,center_max_angle,center_min_angle,center_avg_angle,center_std_angle,nonmag_max_angle,nonmag_min_angle,nonmag_std_angle,labelled_1st,labelled_2nd,labelled_3rd,global_1st,global_2nd,global_3rd,avg_long_axis,avg_short_axis,avg_axis_ratio,avg_s,avg_delta,motif0_nonmag_count,magnetic_atomic_number,magnetic_electronegativity,nonmagnetic_atomic_number,nonmagnetic_electronegativity,hungarian_rotation_angle_deg,dimension,avg_motif_measure,unit_cell_volume,packing_fraction,p_metric,p_metric_std,d_orb_e,p_orb_e_non,d_lone_pair,proxy_M_magnet,delta_chi,abs_delta_chi,delta_Z,abs_delta_Z,pd_ratio,ax_eq_gap,bond_range,bond_cv,center_angle_spread,nonmag_angle_spread,delta_chi_times_axeq,d_global_local_1st,d_global_local_2nd,d_global_local_3rd
POSCAR_FeS__3generated,2.3423542235367014,2.3814841815825885,2.303255220496542,0.03872987752275725,179.95205542013656,84.36963051544285,119.98356446896003,42.65066621451221,91.90358904023651,41.33187998491904,21.37943170440242,2.963134512808028,4.140858665610842,4.943793133127262,2.963134512808028,3.4699759789728866,3.994119949047564,4.762163516603083,3.1467621617787502,1.513353677492207,0.01653368363514853,0.000465775229352144,4,26,1.83,16,2.58,71.01796067200775,2,10.917529963100332,63.92507435001821,0.5327181872121838,0.8707796153896824,0.0023193517024108334,7,4,4,4.9,-0.75,0.75,10,10,0.57142848979593,0.03912995804588704,0.07822896108604649,0.016534587552557187,95.58242490469371,50.57170905531747,0.029347468534415277,0.0,-0.6708826866379551,-0.9496731840796984
POSCAR_CoS__2matched,2.711230577065549,3.075711799628548,2.5118676418656882,0.2580612810302254,179.99267674187757,85.33815097993204,107.99727389287509,36.14859491474267,101.53395724076844,37.706580623869094,17.549938448808856,3.0200695282325465,4.603580088041111,5.069493069625878,3.0200695282325465,3.4745504598576082,4.074901802147283,6.151326584661679,3.474550459857608,1.7703949491393396,0.09518223033575791,0.0001588713344337961,6,24,1.66,16,2.58,105.86152069333897,3,26.067502602738138,78.2025078082144,0.33333333333333337,0.7142856576357872,0.05078395181721016,5,4,5,3.87,-0.9200000000000002,0.9200000000000002,8,8,0.799999840000032,0.36448122256299875,0.5638441577628597,0.09518230873864829,94.65452576194554,63.82737661689935,0.33532272475795893,0.0,-1.129029628183503,-0.9945912674785946
POSCAR_NiS__2matched,2.6213609688121196,2.9652868706270152,2.432602620902312,0.2435314139329796,179.99265884441235,84.7063977343665,107.99725348588333,36.13475071413779,101.26738433078776,38.55772335161596,17.484410375205236,3.0200695476384625,4.4739148273022895,4.912389309930618,3.0200695476384625,3.300822936841061,3.877516854120627,5.930470933797139,3.300822936841061,1.796664361364591,0.09290253884152622,0.0001613588669757912,6,24,1.66,16,2.58,106.00479257370834,3,23.584883307454657,70.75464992236397,0.33333333333333337,0.6917605093714763,0.04955087331396116,5,4,5,3.87,-0.9200000000000002,0.9200000000000002,8,8,0.799999840000032,0.3439259018148957,0.5326842497247033,0.092902627271783,95.28626111004584,62.7096609791718,0.3164118296697041,0.0,-1.1730918904612286,-1.034872455809991
POSCAR_CoS__3generated,2.505858186895474,2.507947319168237,2.501882357989971,0.0027754787937875505,179.996688129096,88.00477571299845,107.9989457043927,36.039954802116696,90.13516564403156,43.939261966202565,16.467445594424788,2.7935289884939767,4.559345701805026,6.837919554196506,2.7935289884939767,3.6034582796413037,4.559345701805026,5.01568146918237,3.4803097173349897,1.4411595167768252,0.0011070556860389,5.910280361128761e-05,6,27,1.88,16,2.58,70.69732653331413,3,20.942944998428242,62.828834995284716,0.33333333333333337,0.6893086413525098,0.002663119836333627,8,4,3,3.87,-0.7000000000000002,0.7000000000000002,11,11,0.4999999375000079,0.0020891322727627504,0.006064961178265715,0.001107595673492775,91.99191241609753,46.195903677828994,0.0014623925909339256,0.0,-0.9558874221637224,-2.27857385239148
POSCAR_FeAs__2matched,2.6213609688121196,2.9652868706270152,2.432602620902312,0.2435314139329796,179.99265884441235,84.7063977343665,107.99725348588333,36.13475071413779,101.26738433078776,38.55772335161596,17.484410375205236,3.0200695476384625,4.4739148273022895,4.912389309930618,3.0200695476384625,3.300822936841061,3.877516854120627,5.930470933797139,3.300822936841061,1.796664361364591,0.09290253884152622,0.0001613588669757912,6,24,1.66,16,2.58,106.00479257370834,3,23.584883307454657,70.75464992236397,0.33333333333333337,0.6917605093714763,0.04955087331396116,5,4,5,3.87,-0.9200000000000002,0.9200000000000002,8,8,0.799999840000032,0.3439259018148957,0.5326842497247033,0.092902627271783,95.28626111004584,62.7096609791718,0.3164118296697041,0.0,-1.1730918904612286,-1.034872455809991
POSCAR_FeAs__4relaxed,2.6064878709628796,2.6122025517676026,2.6025364024234525,0.003823104165007715,179.98043833299874,87.88202493834382,107.99468436691839,36.03456554620831,90.19089096212105,43.900016874998954,16.470233251687908,2.9019374706328454,4.733864881155318,7.106099138882306,2.9019374706328454,3.749258237115709,4.733864881155318,5.223450046152932,3.613995073795918,1.4453395943346155,0.0014579193194117377,0.0002858710694547263,6,26,1.83,33,2.18,131.7658346773632,3,23.565517990631946,70.69655397189585,0.33333333333333326,0.6901139803320914,0.0007518646343848128,7,3,4,4.9,-0.3500000000000001,0.3500000000000001,-7,7,0.4285713673469475,0.005714680804723038,0.00966614934415011,0.001466764047066657,92.09841339465493,46.29087408712209,0.002000138281653064,0.0,-0.9846066440396091,-2.372234257726988
POSCAR_FeAs__3generated,2.606487870962879,2.6122025517675946,2.6025364024234463,0.0038231041650076823,179.98043833299784,87.88202493834348,107.9946843669197,36.034565546210914,90.19089096212105,43.90001687499897,16.470233251687908,2.9019374706328525,4.733864881155297,7.106099138882285,2.9019374706328525,3.749258237115709,4.733864881155297,5.223450046152932,3.613995073795917,1.445339594334616,0.0014579193194118318,0.00028587106945301966,6,26,1.83,33,2.18,131.76583467736316,3,23.565517990631946,70.69655397189585,0.33333333333333326,0.6901139803320914,0.0007518646343845272,7,3,4,4.9,-0.3500000000000001,0.3500000000000001,-7,7,0.4285713673469475,0.0057146808047154884,0.009666149344148334,0.0014667640470666448,92.09841339465436,46.29087408712208,0.0020001382816504216,0.0,-0.9846066440395878,-2.372234257726988
POSCAR_CoS__4relaxed,2.5058554550142045,2.5064106013156993,2.504814826343739,0.0007020514162645642,179.99738855681645,88.04082936340745,107.99932375205915,36.04067066446227,90.03409532965253,44.005142551830694,16.4672800780143,2.793549456782755,4.559395387060467,6.837959758188513,2.793549456782755,3.6034582796413037,4.559395387060467,5.012712690465401,3.482429672531449,1.4394296984291843,0.00027916072575758356,3.659746238955224e-05,6,27,1.88,16,2.58,70.553178234708,3,20.94294499842824,62.828834995284716,0.3333333333333333,0.6892968338231285,0.0006728909552558397,8,4,3,3.87,-0.7000000000000002,0.7000000000000002,11,11,0.4999999375000079,0.00055514630149478,0.0015957749719603953,0.0002801642587546319,91.95655919340899,46.028952777821836,0.00038860241104634604,0.0,-0.9559371074191629,-2.2785643711280468
POSCAR_NiS__3generated,2.459518260921235,2.459969725236623,2.4589947746311798,0.00035868947225302145,179.99703677226756,88.70565193520025,107.99874162510812,36.01585756848948,90.01870521382548,44.346027355825015,16.447080254414935,2.775525804097469,4.480327951076508,6.6942903893430525,2.775525804097469,3.517100302904763,4.480327951076508,4.9196953026810375,3.4385586445404748,1.430743463202527,0.00013952025468758438,7.358080126766028e-05,6,28,1.91,16,2.58,179.98278645827966,3,19.822368820578482,59.46710646173544,0.33333333333333337,0.6816293834646061,0.00033802845942474465,9,4,2,2.83,-0.6700000000000002,0.6700000000000002,12,12,0.44444439506173394,0.000451464315387895,0.000974950605443059,0.00014583722841782953,91.29138483706731,45.67267785800047,0.0003024810913098897,0.0,-0.963227648171745,-2.2139624382665444
POSCAR_CoO_sp__4relaxed,1.9794729592632714,2.0237551584517712,1.9362525167070748,0.04315558394280905,179.52800160845584,83.16268255419993,119.8377136500406,42.5625588293903,92.51518220316416,40.48903964535461,21.468489157327028,2.6369544499360336,3.4167126009775513,3.5282039742624627,2.6369544499360336,2.959474534515975,3.342286342458803,4.045207146443807,2.6290966381363496,1.5386303004712953,0.021798164809556354,0.004248037452163483,4,27,1.88,8,3.44,116.33809837999723,2,7.77758272962044,40.10961116241702,0.5208187268241351,0.8117463155922923,0.002114790406178078,8,4,3,3.87,-1.56,1.56,19,19,0.4999999375000079,0.04428219918849985,0.08750264174469646,0.021801541637289774,96.3653190542559,52.02614255780955,0.06908023073405976,0.0,-0.45723806646157605,-0.1859176318036595
