filename,sg,verdict,ops,n_ops,nsym
Fe2S4_1_st050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_st950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_st975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_x025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_x050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_x950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_x975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_y025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_y050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_y950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_y975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_z025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_z050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_z950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2S4_1_z975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se2_1,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Se2_1_st025,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Se2_1_st050,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Se2_1_st950,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Se2_1_st975,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Se2_1_x025,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Se2_1_x950,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Se2_1_x975,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se2_1_y025,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se2_1_y050,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Se2_1_y950,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Se2_1_y975,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Se2_1_z025,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Se2_1_z050,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Se2_1_z950,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Se2_1_z975,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Se4_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_st025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_st050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_st950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_st975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_x025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_x050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_x950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_x975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_y025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_y050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_y950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_y975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_z025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_z050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_z950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se4_1_z975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Se8_1,P4/mcc,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Se8_1_st950,P4/mcc,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Se8_1_st975,P4/mcc,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Se8_1_x025,P4/mcc,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Se8_1_x050,P4/mcc,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Se8_1_x950,P4/mcc,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Se8_1_x975,P4/mcc,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Se8_1_y025,Pccm,conventional_AFM_inversion,inversion|mirror/rotoinv,4,8
Fe2Se8_1_y050,Pccm,conventional_AFM_inversion,inversion|mirror/rotoinv,4,8
Fe2Se8_1_y975,Pccm,conventional_AFM_inversion,inversion|mirror/rotoinv,4,8
Fe2Se8_1_z025,Pccm,conventional_AFM_inversion,inversion|mirror/rotoinv,4,8
Fe2Se8_1_z050,Pccm,conventional_AFM_inversion,inversion|mirror/rotoinv,4,8
Fe2Se8_1_z975,Pccm,conventional_AFM_inversion,inversion|mirror/rotoinv,4,8
Fe2Si2_3,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Si2_3_st025,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
