filename,msg_type,bns,uni
F6Ru2_2,3,182.181,1411
F6Ti2_3,3,20.34,132
F6Ti2_4,3,9.39,46
F6Ti2_6,3,5.15,22
F6V2_1,3,167.107,1337
F6V2_2,3,182.181,1411
F6Zr2_2,3,15.89,96
F6Zr2_4,3,4.9,16
F8Mn2_1,3,109.242,902
F8Nb2_3,3,43.227,325
F8Ni2_1,3,109.242,902
F8V2_1,3,5.15,22
Fe2Ga5_1,3,12.60,67
Fe2Ge1_1,3,139.538,1198
Fe2Ge1_2,3,2.6,6
Fe2Ge2_1,3,194.269,1499
Fe2Ge4_2,3,140.549,1209
Fe2I4_1,3,43.227,325
Fe2N2_1,3,186.206,1436
Fe2O2_8,3,15.89,96
Fe2P2_1,3,194.269,1499
Fe2P2_3,3,186.206,1436
Fe2P4_1,3,14.79,86
Fe2P5_1,3,44.231,329
Fe2P6_2,3,15.89,96
Fe2P8_1,3,14.79,86
Fe2Pb2_1,3,63.460,558
Fe2Pb4_2,3,12.60,67
Fe2S4_1,3,58.397,495
Fe2Se2_1,3,194.269,1499
Fe2Se4_1,3,58.397,495
Fe2Se8_1,3,124.359,1019
Fe2Si2_3,3,194.269,1499
Fe2Si2_4,3,129.413,1073
Fe2Sn10_2,3,140.549,1209
Fe2Sn2_1,3,15.89,96
Fe2Sn3_1,3,2.6,6
Fe2Sn4_3,3,58.397,495
Fe2Sn8_2,3,12.61,68
Fe2Te2_1,3,63.463,561
Fe2Te4_1,3,58.397,495
Fe2Te6_1,3,15.89,96
Fe2Tl3_1,3,65.483,581
Ga2Ru2_4,3,194.269,1499
Ga4Ti2_1,4,139.540,1200
Ge2Mn2_2,3,194.269,1499
Ge2Mn2_3,3,109.242,902
Ge2Mo2_2,3,194.269,1499
Ge2Ru2_2,3,194.269,1499
Ge2V2_2,3,194.267,1497
Ge2V2_3,4,12.64,71
Ge4V2_1,3,74.559,657
I4Mn2_1,3,136.498,1158
I4Nb2_1,3,136.498,1158
I4Ni2_1,3,43.227,325
I4Rh2_1,3,136.498,1158
I4Ti2_1,3,136.498,1158
I6Nb2_1,3,167.107,1337
In6Mo2_1,3,59.408,506
In8Mn2_3,3,127.393,1053
Mn2N2_2,1,8.32,39
Mn2N2_3,3,15.89,96
Mn2N2_7,4,8.35,42
Mn2O2_5,3,186.206,1436
Mn2O2_6,3,15.89,96
Mn2O2_7,1,8.32,39
Mn2O3_1,3,2.6,6
Mn2O4_1,3,136.498,1158
Mn2P2_4,0,determination_failed,0
Mn2Pb4_2,3,12.60,67
Mn2Pb8_1,3,114.279,939
Mn2Pb8_2,3,2.6,6
Mn2Pb8_3,3,127.393,1053
Mn2S2_1,3,194.269,1499
Mn2S2_2,3,186.206,1436
Mn2S4_1,3,58.397,495
Mn2Sb4_1,3,58.397,495
Mn2Sb6_1,3,15.89,96
Mn2Se2_1,3,186.206,1436
Mn2Se2_2,3,194.269,1499
Mn2Se2_3,3,36.175,273
