filename,maximum splitting energy,avg_bond_length,max_bond_length,min_bond_length,std_bond_length,center_max_angle,center_min_angle,center_avg_angle,center_std_angle,nonmag_max_angle,nonmag_min_angle,nonmag_std_angle,labelled_1st,labelled_2nd,labelled_3rd,global_1st,global_2nd,global_3rd,avg_long_axis,avg_short_axis,avg_axis_ratio,avg_s,avg_delta,motif0_nonmag_count,magnetic_atomic_number,magnetic_electronegativity,nonmagnetic_atomic_number,nonmagnetic_electronegativity,hungarian_rotation_angle_deg,dimension,avg_motif_measure,unit_cell_volume,packing_fraction,characteristic_length_ratio,p_metric,p_metric_std,d_orb_e,p_orb_e_non,d_lone_pair,proxy_M_magnet,delta_chi,abs_delta_chi,delta_Z,abs_delta_Z,pd_ratio,ax_eq_gap,bond_range,bond_cv,center_angle_spread,nonmag_angle_spread,delta_chi_times_axeq,d_global_local_1st,d_global_local_2nd,d_global_local_3rd,gamma point average splitting,ion1 tot,tot_mag
POSCAR_Ag2F6_3,0.042023,2.059812463827404,2.0713027579750287,2.0487073302012386,0.00918979509872386,179.93494513934746,89.26503822775499,107.98385411200206,35.9704860568889,90.62946496368855,44.47141305959238,16.436339941671747,3.98477059158997,6.845202227782547,7.072060634854589,3.98477059158997,5.616773026568954,5.845994671696136,4.141934922714306,2.8926870002103797,1.4318700915748284,0.004466018835643747,0.0005224822155573313,6,47,1.93,9,3.98,95.58421411718021,3,11.650894755442785,130.85210845499014,0.08903864747009714,0.44653912608741575,0.17045764074325478,0.06966537291488419,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.011490294147624702,0.02259542777379009,0.004461469574845876,90.66990691159248,46.15805190409617,0.023555103002630636,0.0,-1.2284292012135927,-1.2260659631584527,0.744,0.102,0.0
POSCAR_Ag2F6_3_st950,0.036292,1.9568218406360334,1.967737620076294,1.9462719636911787,0.008730305343786843,179.93494513935616,89.26503822775474,107.98385411200373,35.97048605689227,90.62946496368865,44.47141305959221,16.436339941671747,3.7855320620104864,6.502942116393451,6.717853461058854,3.7855320620104864,5.335934375240507,5.553694938111329,3.934838176578585,2.7480526501998463,1.4318700915748344,0.004466018835643366,0.000522482215560469,6,47,1.93,9,3.98,95.58421411718078,3,9.989185890947754,112.18932648659718,0.0890386474700971,0.44653912608741564,0.17045764074325473,0.06966537291488284,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.010915779440260565,0.021465656385115217,0.0044614694608476665,90.66990691160142,46.15805190409644,0.022377347852534157,0.0,-1.1670077411529443,-1.1641585229475249,0.529,0.078,0.0
POSCAR_Ag2F6_3_st975,0.03876,2.008317152231719,2.0195201890256698,1.9974896469462102,0.00896005022125479,179.93494513934883,89.26503822775473,107.9838541120029,35.9704860568906,90.62946496368865,44.47141305959218,16.436339941671747,3.885151326800236,6.674072172088016,6.894639078455141,3.885151326800236,5.47635370090473,5.699844804903734,4.038386549646443,2.8203698252051046,1.4318700915748346,0.004466018835643296,0.0005224822155604237,6,47,1.93,9,3.98,95.58421411718078,3,10.79874103122048,121.2815034600244,0.08903864747009715,0.44653912608741575,0.17045764074325503,0.06966537291488287,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.011203036793950627,0.022030542079459536,0.004461469519308005,90.6699069115941,46.15805190409647,0.022966225427598783,0.0,-1.1977184711832853,-1.1947942735514072,0.579,0.088,0.0
POSCAR_Ag2F6_3_x950,0.003334,2.0263040044669727,2.0536135959465014,2.0035801811917713,0.021013453910762817,179.93303486860452,86.81558758209347,107.98398051460607,36.017022403302136,91.43183229653201,43.16607428478567,16.48737369968817,3.9558309511533474,6.587800175268073,6.731493920631849,3.9558309511533474,5.335934375213922,5.573151516094529,4.106896476443217,2.7662369951047743,1.484813855800744,0.01037237921127395,0.0005112764714723343,6,47,1.93,9,3.98,29.2916889943245,3,11.068350017541993,124.30950303079575,0.08903864747009713,0.44653912608741575,0.16760521584901653,0.05875415616469084,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.027309591479528716,0.05003341475473011,0.010370331151746074,93.11744728651105,48.265758011746335,0.055984662533033865,0.0,-1.2518658000541505,-1.1583424045373203,0.115,0.004,0.001
POSCAR_Ag2F6_3_y025,0.030328,2.0772182714681744,2.0856645404452143,2.0624002654332214,0.010320955184701136,179.93389784249263,88.49487846703326,107.98380947769077,35.98374180425739,90.64732358527459,43.99370964717275,16.44794226723846,4.034413556637002,6.902297785446218,7.08104213298354,4.034413556637002,5.616773026564502,5.782232307134167,4.1707728483548525,2.894582796218404,1.4409140130994014,0.004972916250135007,0.0005194596311075537,6,47,1.93,9,3.98,178.0113412638443,3,11.942167124324433,134.12341116631524,0.08903864747009714,0.44653912608741575,0.16993423485391482,0.0668193649135182,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.008446268977039928,0.023264275011992908,0.004968640203981116,91.43901937545937,46.65361393810184,0.01731485140293185,0.0,-1.2855247588817162,-1.2988098258493732,1.63,0.132,0.008
POSCAR_Ag2F6_3_y950,0.005466,2.026214992613853,2.0586514254068784,1.9893041334605872,0.02912292914808267,179.93714064067126,86.90027305982022,107.98396130605535,36.010028448062485,91.96999131391392,42.87938915452558,16.494419267699662,3.887439681045063,4.052620403400759,6.728801526030742,3.887439681045063,4.052620403400759,5.373231464492922,4.116547035668008,2.766233329318175,1.4883003081871675,0.014374617086200261,0.0005285997571656319,6,47,1.93,9,3.98,95.5922525084861,3,11.068350017690328,124.30950303246169,0.08903864747009714,0.44653912608741575,0.1714648121575116,0.07537292213305634,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.03243643279302555,0.06934729194629119,0.014373062523563244,93.03686758085104,49.09060215938834,0.06649468722570237,0.0,0.0,-1.3555700615378203,0.179,0.006,0.001
POSCAR_Ag2F6_3_y975,0.00841,2.042808656640972,2.0648139817693827,2.0205735356260903,0.01789207214357248,179.9360267064843,88.28076738246634,107.98390469414787,35.979045323184714,91.24971676724189,43.75320359439886,16.45135585548274,3.9357711878692907,4.05319372905207,6.788362587133641,3.9357711878692907,4.05319372905207,5.5146322924704245,4.128914207974134,2.834863972060654,1.4565299207507363,0.008761359881855217,0.0005255298061124127,6,47,1.93,9,3.98,95.59107018050999,3,11.35962238648554,127.58080574281605,0.08903864747009711,0.44653912608741575,0.17096821913939497,0.07251756025565266,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.02200532512841047,0.04424044614329237,0.008758560586106062,91.65525932401798,47.49651317284303,0.04511091651324146,0.0,0.0,-1.273730294663216,0.347,0.008,0.003
POSCAR_Ag2F6_3_z025,0.077982,2.0771092264141755,2.094996524903045,2.0561677791414925,0.015858174568539867,179.93508129281258,88.70097683606946,107.98396266949229,35.9783816848865,91.07613920546265,43.90724517312585,16.44912506570099,4.034489554332996,6.902388213845381,7.074836456417286,4.034489554332996,5.616773026564502,5.784494381601208,4.189668781250031,2.9014698768847214,1.4439830789785963,0.007639055559241587,0.000519872002581877,6,47,1.93,9,3.98,91.74421749244506,3,11.942167124171334,134.1234111645958,0.08903864747009711,0.44653912608741575,0.16952600986101451,0.06721387428502655,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.017887298488869607,0.0388287457615526,0.007634729426909936,91.23410445674313,47.1688940323368,0.03666896190218269,0.0,-1.2856151872808788,-1.2903420748160777,2.191,0.109,0.002
POSCAR_Ag2F6_3_z950,0.015396,2.026437213559954,2.0573714894391957,2.0014323666454796,0.023134175838543304,179.9347319691023,86.50418445817301,107.98364049937841,36.02104179772134,91.59514650469487,42.99950608821382,16.491560350148532,3.8872908019010644,4.049228612258862,6.73160502509797,3.8872908019010644,4.049228612258862,5.379551952036931,4.114197537268334,2.7562747450568477,1.492664934000087,0.011417890208230485,0.0005278031173659329,6,47,1.93,9,3.98,166.85337650567092,3,11.06835001750017,124.30950303032604,0.08903864747009713,0.44653912608741575,0.1722803388980187,0.07457307284150953,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.03093427587924147,0.055939122793716045,0.011416176266189848,93.43054751092929,48.59564041648105,0.063415265552445,0.0,0.0,-1.3520530730610387,0.156,0.015,0.0
POSCAR_Ag2F6_3_z975,0.064037,2.04291917021251,2.058353452390979,2.0322616500077455,0.011152462610999968,179.93482827448605,87.900608975192,107.98374668642695,35.984516235062216,90.74509076262673,43.87383958811073,16.450007191048353,3.935696203426519,4.049873708584865,6.788272332446271,3.935696203426519,4.049873708584865,5.5211191086694305,4.116153011312893,2.8253699265525203,1.456857186305914,0.005463223613387577,0.0005251264892841426,6,47,1.93,9,3.98,166.83542790943594,3,11.359622386390559,127.58080574174929,0.08903864747009713,0.44653912608741575,0.1713763452619615,0.07211928420422532,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.015434282178469427,0.02609180238323372,0.005459079005441441,92.03421929929405,46.871251174516004,0.03164027846586232,0.0,0.0,-1.2671532237768401,1.319,0.096,0.001
