decile,n,sse_mean,pred_mean,bias_pct
1,385,0.00979701038961039,0.0603002907063048,515.496853716237
2,384,0.016495356770833334,0.062940743164487,281.5664252608177
3,385,0.056030981818181815,0.1601958333220687,185.90581161311334
4,384,0.17244740625,0.2465247946927102,42.956510656541234
5,385,0.26663235584415584,0.3129445204497326,17.369296557783773
6,384,0.34834585677083335,0.40829432597944143,17.20946813156628
7,384,0.432188421875,0.4326853360345646,0.11497627757097091
8,385,0.5415522831168832,0.506133604634892,-6.5402140451038955
9,384,0.7328285208333334,0.6045615466759225,-17.50299974836576
10,385,1.0449184077922078,0.7161683557660273,-31.46179161689681
