trial_number,value,best_sse_overall
0,0.2732883393764496,0.5126546621322632
3,0.3638552129268646,0.5126546621322632
4,0.3003948032855987,0.5126546621322632
7,0.3317734003067016,0.5126546621322632
8,0.3593126237392425,0.5126546621322632
10,0.4546111524105072,0.5126546621322632
11,0.3392102420330047,0.5126546621322632
12,0.3513811528682709,0.5126546621322632
13,0.5411605834960938,0.5411605834960938
14,0.3234838545322418,0.5411605834960938
15,0.3405748903751373,0.5411605834960938
16,0.4540793299674988,0.5411605834960938
17,0.2639587521553039,0.5411605834960938
18,0.409492164850235,0.5411605834960938
19,0.3380387723445892,0.5411605834960938
20,0.2429464608430862,0.5411605834960938
21,0.382110983133316,0.5411605834960938
22,0.3488009572029114,0.5411605834960938
23,0.399819016456604,0.5411605834960938
24,0.41893270611763,0.5411605834960938
25,0.4008426964282989,0.5411605834960938
26,0.4264066219329834,0.5411605834960938
27,0.3103936910629272,0.5411605834960938
28,0.5265547037124634,0.5411605834960938
29,0.5170296430587769,0.5411605834960938
30,0.2851705849170685,0.5411605834960938
31,0.2764647603034973,0.5411605834960938
32,0.4420965313911438,0.5411605834960938
33,0.2967821657657623,0.5411605834960938
34,0.3722580373287201,0.5411605834960938
35,0.372241199016571,0.5411605834960938
36,0.3792997300624847,0.5411605834960938
37,0.374927669763565,0.5411605834960938
38,0.4614494740962982,0.5411605834960938
39,0.5009359121322632,0.5411605834960938
40,0.3810116946697235,0.5411605834960938
41,0.4097366333007812,0.5411605834960938
42,0.4259354770183563,0.5411605834960938
43,0.4710336625576019,0.567446231842041
44,0.567446231842041,0.567446231842041
45,0.4721235632896423,0.567446231842041
46,0.468441367149353,0.567446231842041
47,0.3859646618366241,0.567446231842041
48,0.3109850883483886,0.567446231842041
49,0.4755571484565735,0.567446231842041
50,0.5464693307876587,0.567446231842041
51,0.5633883476257324,0.567446231842041
52,0.6313818693161011,0.6313818693161011
53,0.5122581720352173,0.6313818693161011
54,0.488907903432846,0.6313818693161011
55,0.4391549229621887,0.6313818693161011
56,0.6772019863128662,0.6772019863128662
57,0.5405231714248657,0.6313818693161011
58,0.3920724093914032,0.6772019863128662
59,0.5205590724945068,0.6772019863128662
60,0.262651264667511,0.6772019863128662
61,0.5405519008636475,0.6772019863128662
62,0.5156642198562622,0.6772019863128662
63,0.5314111709594727,0.6772019863128662
64,0.5941128730773926,0.6772019863128662
65,0.6027439832687378,0.6772019863128662
66,0.6068710088729858,0.6772019863128662
67,0.6476032733917236,0.6772019863128662
68,0.3954783678054809,0.6772019863128662
69,0.6301392316818237,0.6772019863128662
70,0.6101534366607666,0.6772019863128662
71,0.3725170791149139,0.6772019863128662
72,0.5613927841186523,0.6772019863128662
73,0.3981098532676697,0.6772019863128662
74,0.3999561369419098,0.6772019863128662
75,0.3974339962005615,0.6772019863128662
76,0.533271312713623,0.6772019863128662
77,0.551152229309082,0.6772019863128662
78,0.565233588218689,0.6772019863128662
79,0.3857871294021606,0.6772019863128662
80,0.3970667123794555,0.6772019863128662
81,0.5705875158309937,0.6772019863128662
82,0.6009455919265747,0.6772019863128662
83,0.6073281764984131,0.6772019863128662
84,0.609326958656311,0.6772019863128662
85,0.5902519226074219,0.6772019863128662
86,0.5010925531387329,0.6772019863128662
87,0.2666106820106506,0.6772019863128662
88,0.5566264390945435,0.6772019863128662
89,0.505739688873291,0.6772019863128662
90,0.4945003092288971,0.6772019863128662
91,0.5745956897735596,0.6772019863128662
92,0.5497328042984009,0.6772019863128662
93,0.5779303312301636,0.6772019863128662
94,0.433519572019577,0.6772019863128662
95,0.5056111812591553,0.6772019863128662
96,0.3762435913085937,0.6772019863128662
97,0.5644878149032593,0.6772019863128662
98,0.5307309627532959,0.6772019863128662
99,0.5001202821731567,0.6772019863128662
100,0.4978111684322357,0.6772019863128662
101,0.4923030734062195,0.6772019863128662
102,0.5353014469146729,0.6772019863128662
103,0.6280517578125,0.6772019863128662
104,0.4417168200016022,0.6772019863128662
105,0.3880521953105926,0.6772019863128662
106,0.4505708217620849,0.6772019863128662
107,0.7262412309646606,0.7262412309646606
108,0.6249419450759888,0.7262412309646606
109,0.5809029340744019,0.7262412309646606
110,0.5938390493392944,0.7262412309646606
111,0.3205074667930603,0.7262412309646606
112,0.554284930229187,0.7262412309646606
113,0.7907546758651733,0.7907546758651733
114,0.5125584602355957,0.7907546758651733
115,0.669705867767334,0.7907546758651733
116,0.4376318156719208,0.7907546758651733
117,0.5688740015029907,0.7907546758651733
118,0.5731288194656372,0.7907546758651733
119,0.4427357912063598,0.7907546758651733
120,0.5923409461975098,0.7907546758651733
121,0.4884772598743438,0.7907546758651733
122,0.5191922187805176,0.7907546758651733
123,0.477774977684021,0.7907546758651733
124,0.4704250395298004,0.7907546758651733
125,0.6568081378936768,0.7907546758651733
126,0.663409948348999,0.7907546758651733
127,0.523005485534668,0.7907546758651733
128,0.4327013790607452,0.7907546758651733
129,0.2721957862377167,0.7907546758651733
130,0.654062032699585,0.7907546758651733
131,0.2799647748470306,0.7907546758651733
132,0.5591790676116943,0.7907546758651733
133,0.5463675260543823,0.7907546758651733
134,0.6335200071334839,0.7907546758651733
135,0.6056370735168457,0.7907546758651733
136,0.526984691619873,0.7907546758651733
