filename,parent,sse,d_CC_1,d_MM_1,mpf,msbi,pd_ratio,dimension
POSCAR_Ag2F6_3,Ag2F6_3,0.042023,3.98477059158997,3.98477059158997,0.0890386474700971,0.1704576407432547,0.499999950000005,3
POSCAR_Ag2F6_3_st950,Ag2F6_3,0.036292,3.7855320620104864,3.7855320620104864,0.0890386474700971,0.1704576407432547,0.499999950000005,3
POSCAR_Ag2F6_3_st975,Ag2F6_3,0.03876,3.885151326800236,3.885151326800236,0.0890386474700971,0.170457640743255,0.499999950000005,3
POSCAR_Ag2F6_3_x950,Ag2F6_3,0.003334,3.9558309511533474,3.9558309511533474,0.0890386474700971,0.1676052158490165,0.499999950000005,3
POSCAR_Ag2F6_3_y950,Ag2F6_3,0.005466,3.887439681045063,3.887439681045063,0.0890386474700971,0.1714648121575116,0.499999950000005,3
POSCAR_Ag2F6_3_y975,Ag2F6_3,0.00841,3.93577118786929,3.93577118786929,0.0890386474700971,0.1709682191393949,0.499999950000005,3
POSCAR_Ag2F6_3_z025,Ag2F6_3,0.077982,4.034489554332996,4.034489554332996,0.0890386474700971,0.1695260098610145,0.499999950000005,3
POSCAR_Ag2F6_3_z950,Ag2F6_3,0.015396,3.887290801901064,3.887290801901064,0.0890386474700971,0.1722803388980187,0.499999950000005,3
POSCAR_Ag2F6_3_z975,Ag2F6_3,0.064037,3.935696203426519,3.935696203426519,0.0890386474700971,0.1713763452619615,0.499999950000005,3
POSCAR_Al10Fe2_1,Al10Fe2_1,0.042896,6.054099737767579,4.051378558691246,0.2730553927453741,8.702782981970793e-06,0.1428571224489825,3
POSCAR_Al10Fe2_1_st950,Al10Fe2_1,0.019014,5.751394750879215,3.8488096307566826,0.2730553927453739,8.702782981968506e-06,0.1428571224489825,3
POSCAR_Al10Fe2_1_st975,Al10Fe2_1,0.042746,5.902747244323405,3.9500940947239647,0.2730553927453737,8.702782981968316e-06,0.1428571224489825,3
POSCAR_Al10Fe2_1_x025,Al10Fe2_1,0.021152,6.055529082669246,4.096307247278491,0.2730553927453742,8.666594676914059e-06,0.1428571224489825,3
POSCAR_Al10Fe2_1_x975,Al10Fe2_1,0.047069,6.0291262209166,3.950094094759151,0.2730553927453741,8.739863478396568e-06,0.1428571224489825,3
POSCAR_Al10Fe2_1_y975,Al10Fe2_1,0.033551,6.030040556608535,3.993899566112365,0.2730553927453742,8.840430628132347e-06,0.1428571224489825,3
POSCAR_Al10Fe2_1_z050,Al10Fe2_1,0.021833,6.307909880650923,4.051378558634946,0.2730553927453741,9.047711983287633e-06,0.1428571224489825,3
POSCAR_Al2Fe2_2,Al2Fe2_2,0.082671,2.8255991389549844,2.8255991389549844,0.5000000000000001,0.0014800074848314,0.1428571224489825,3
POSCAR_Al2Fe2_2_st025,Al2Fe2_2,0.013031,2.896239117428847,2.896239117428847,0.4999999999999999,0.0014800074848389,0.1428571224489825,3
POSCAR_Al2Fe2_2_st950,Al2Fe2_2,0.013366,2.684319182007224,2.684319182007224,0.5000000000000001,0.001480007484839,0.1428571224489825,3
POSCAR_Al2Fe2_2_x025,Al2Fe2_2,0.027716,2.8369430426832745,2.8369430426832745,0.5000000000000001,0.0014921911128115,0.1428571224489825,3
POSCAR_Al2Fe2_2_x050,Al2Fe2_2,0.007001,2.8371655686479405,2.8371655686479405,0.5000000000000001,0.0015041724674566,0.1428571224489825,3
POSCAR_Al2Fe2_2_x950,Al2Fe2_2,0.010943,2.750178359164253,2.750178359164253,0.2517209749275415,0.0020400558860151,0.1428571224489825,3
POSCAR_Al2Fe2_2_x975,Al2Fe2_2,0.031944,2.7877308549679305,2.7877308549679305,0.5000000000000001,0.001467622194453,0.1428571224489825,3
POSCAR_Al2Fe2_2_y025,Al2Fe2_2,0.014834,2.826939043170166,2.826939043170166,0.5000000000000001,0.0014717665615823,0.1428571224489825,3
POSCAR_Al2Fe2_2_y950,Al2Fe2_2,0.005462,2.789473044856618,2.789473044856618,0.5,0.0014961001289996,0.1428571224489825,3
POSCAR_Al2Fe2_2_z050,Al2Fe2_2,0.017962,2.8893746509648905,2.8893746509648905,0.5000000000000001,0.0014712662866381,0.1428571224489825,3
POSCAR_Al2Fe2_2_z950,Al2Fe2_2,0.00829,2.7123239382716515,2.7123239382716515,0.5,0.0014876377264195,0.1428571224489825,3
POSCAR_Al2Fe2_2_z975,Al2Fe2_2,0.006618,2.768789244466872,2.768789244466872,0.5000000000000001,0.0014839696873771,0.1428571224489825,3
POSCAR_Al2Mn2_2,Al2Mn2_2,0.011028,3.134982287301256,3.134982287301256,0.5000000000000001,1.5641076366869837e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_st950,Al2Mn2_2,0.011499,2.978233172936194,2.978233172936194,0.5000000000000001,1.56410763668655e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_st975,Al2Mn2_2,0.011657,3.0566077301187247,3.0566077301187247,0.4999999999999999,1.5641076366874072e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_x025,Al2Mn2_2,0.00999,3.1349822872509114,3.1349822872509114,0.4999999999999999,1.539660463392107e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_x050,Al2Mn2_2,0.010084,3.134982287211868,3.134982287211868,0.5000000000000001,1.5154550289542509e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_y025,Al2Mn2_2,0.009996,3.1349822873105,3.1349822873105,0.5000000000000001,1.539026167686092e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_y050,Al2Mn2_2,0.01009,3.134982287329551,3.134982287329551,0.5000000000000001,1.5141927196438217e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_z025,Al2Mn2_2,0.010663,3.213356844526717,3.213356844526717,0.5000000000000003,1.6136911604829388e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_z050,Al2Mn2_2,0.009765,3.291731401713573,3.242718771321642,0.5000000000000002,1.662892762931446e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_z950,Al2Mn2_2,0.010735,2.9782331728778444,2.9782331728778444,0.5,1.4639639616653303e-06,0.1666666388888935,3
POSCAR_Al2Mn2_2_z975,Al2Mn2_2,0.010537,3.056607730108694,3.056607730108694,0.5000000000000001,1.5141835856283975e-06,0.1666666388888935,3
POSCAR_Al3Fe2_2,Al3Fe2_2,0.013452,2.4834581377373945,2.4834581377373945,0.3946569700348506,0.0015788321718256,0.1428571224489825,3
POSCAR_Al3Fe2_2_st975,Al3Fe2_2,0.01104,2.4213716842939546,2.4213716842939546,0.39465697003485,0.0015788321718198,0.1428571224489825,3
POSCAR_Al3Fe2_2_x025,Al3Fe2_2,0.008255,2.483458219869988,2.483458219869988,0.3946569700348507,0.0015640862384864,0.1428571224489825,3
POSCAR_Al3Fe2_2_x050,Al3Fe2_2,0.007952,2.4834583044818395,2.4834583044818395,0.3946569700348506,0.0015498447463983,0.1428571224489825,3
POSCAR_Al3Fe2_2_x950,Al3Fe2_2,0.009013,2.4834579809960786,2.4834579809960786,0.3946569700348506,0.0016066728925849,0.1428571224489825,3
