trial_rank,trial_number,trial_sse,trial_composition,trial_n_nonmag,similar_rank_local,similar_index,similar_cosine,similar_sq_distance,similar_filename,similar_sse,similar_xm_ratio,category
1,42747,1.0605180263519287,Fe-S,4,35,2071,0.4932008287578238,122.57583683606974,POSCAR_Fe2O2_8,0.885788,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,36,3115,0.48884618728666973,126.09460854608415,POSCAR_Mo2Se2_1_st975,0.975994,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,37,2642,0.48687969551393606,125.11474653561685,POSCAR_Mn2O2_6_st975,0.80736,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,38,723,0.4867278473757396,124.01555140087366,POSCAR_C2Fe2_3_x950,0.760905,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,39,2076,0.48575406740333005,123.7442482388712,POSCAR_Fe2O2_8_z025,0.880531,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,40,2645,0.48460259269512584,124.62459376416753,POSCAR_Mn2O2_6_z950,0.82362,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,41,3119,0.4821075914963229,127.28780809351971,POSCAR_Mo2Se2_1_z975,0.8931,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,42,2646,0.47908065567998614,126.14717350773743,POSCAR_Mn2O2_6_z975,0.808567,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,43,2077,0.47802738969114555,124.91346448195367,POSCAR_Fe2O2_8_z050,0.846462,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,44,3118,0.4765132632192186,128.06468910742566,POSCAR_Mo2Se2_1_z950,0.874903,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,45,2072,0.47384404650207124,125.50333556829253,POSCAR_Fe2O2_8_st025,0.788144,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,46,725,0.4715182040747914,126.206036754172,POSCAR_C2Fe2_3_y050,0.956478,1.0,top5_4coordination
