#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  30
# Band-Index:    1
   0.10107     -5.711294     -5.929976
   0.06738     -5.713447     -5.946084
   0.03369     -5.714740     -5.957436
   0.00000     -5.715172     -5.961471
 
# Band-Index:    9
   0.00000     -5.486502     -5.570161
   0.03369     -5.485723     -5.570776
   0.06738     -5.483490     -5.572847
   0.10107     -5.480242     -5.577420
   0.13476     -5.477542     -5.587318
   0.16845     -5.484704     -5.603718
   0.20214     -5.523762     -5.619485
   0.23583     -5.576212     -5.629623
   0.26952     -5.621917     -5.636213
   0.30321     -5.650233     -5.643022
   0.33690     -5.659673     -5.651929
   0.37059     -5.657174     -5.663295
   0.40428     -5.650610     -5.676960
   0.43797     -5.642735     -5.692670
   0.47166     -5.634226     -5.710129
   0.50535     -5.625260     -5.728969
   0.53904     -5.615849     -5.748697
   0.57273     -5.605892     -5.768522
   0.60642     -5.595238     -5.786914
   0.64011     -5.583703     -5.799977
   0.67379     -5.571162     -5.798760
   0.70748     -5.557567     -5.780319
   0.74117     -5.543024     -5.752980
   0.77486     -5.527782     -5.721546
   0.80855     -5.512218     -5.688206
   0.84224     -5.496804     -5.654878
   0.87593     -5.482025     -5.623697
   0.90962     -5.468283     -5.596015
   0.94331     -5.455844     -5.570913
   0.97700     -5.444810     -5.546506
   1.01069     -5.435167     -5.522190
   1.04438     -5.426826     -5.498487
   1.07807     -5.419684     -5.476195
   1.11176     -5.413655     -5.455988
   1.14545     -5.408650     -5.438343
   1.17914     -5.404616     -5.423592
   1.21283     -5.401514     -5.411949
   1.24652     -5.399316     -5.403557
   1.28021     -5.398004     -5.398494
   1.31390     -5.397565     -5.396801
   1.31390     -5.397565     -5.396801
   1.34721     -5.399343     -5.397355
   1.38051     -5.404654     -5.399022
   1.41382     -5.413454     -5.401816
   1.44713     -5.425648     -5.405746
   1.48043     -5.441074     -5.410838
   1.51374     -5.459473     -5.417118
   1.54705     -5.480413     -5.424614
   1.58035     -5.503147     -5.433345
   1.61366     -5.526328     -5.443302
   1.64697     -5.547601     -5.454455
   1.68028     -5.563705     -5.466700
   1.71358     -5.574733     -5.479866
   1.74689     -5.597815     -5.493694
   1.78020     -5.634551     -5.507850
   1.81350     -5.671326     -5.521978
   1.84681     -5.704927     -5.535713
   1.88012     -5.733938     -5.548764
   1.91342     -5.756796     -5.560936
   1.94673     -5.771369     -5.572158
   1.98004     -5.775717     -5.582487
   2.01334     -5.770117     -5.592084
   2.04665     -5.757403     -5.601151
   2.07996     -5.740777     -5.609871
   2.11327     -5.722491     -5.618348
   2.14657     -5.703915     -5.626571
   2.17988     -5.685879     -5.634352
   2.21319     -5.668931     -5.641213
   2.24649     -5.653421     -5.645841
   2.27980     -5.639638     -5.644396
   2.31311     -5.627843     -5.629998
   2.34641     -5.618305     -5.599516
   2.37972     -5.610896     -5.556020
   2.41303     -5.603527     -5.508124
   2.44633     -5.593101     -5.476919
   2.47964     -5.582674     -5.475140
   2.51295     -5.576288     -5.478222
   2.54625     -5.572695     -5.481106
   2.57956     -5.570775     -5.482994
   2.61287     -5.570160     -5.483643
 
# Band-Index:   10
   2.61287     -5.482394     -5.398702
   2.57956     -5.487838     -5.399345
   2.54625     -5.503152     -5.401690
   2.51295     -5.525085     -5.407461
   2.47964     -5.547452     -5.421086
