#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  30
# Band-Index:    1
   0.43797     -8.772493     -9.171655
   0.47166     -8.770758     -9.177600
   0.50535     -8.769497     -9.183371
   0.53904     -8.768806     -9.189159
   0.57273     -8.768793     -9.195251
   0.60642     -8.769663     -9.201997
   0.64011     -8.772051     -9.209861
   0.67379     -8.780723     -9.219396
   0.70748     -8.831705     -9.231259
   0.74117     -8.910478     -9.246201
   0.77486     -8.992155     -9.265041
   0.80855     -9.073728     -9.288558
   0.84224     -9.154018     -9.317365
   0.87593     -9.232154     -9.351707
   0.90962     -9.307372     -9.391296
   0.94331     -9.379027     -9.435259
   0.97700     -9.446492     -9.482188
   1.01069     -9.509220     -9.530404
   1.04438     -9.566705     -9.578157
   1.07807     -9.618495     -9.623813
   1.11176     -9.664191     -9.665957
   1.14545     -9.703449     -9.703413
   1.17914     -9.735979     -9.735242
   1.21283     -9.761530     -9.760703
   1.24652     -9.779915     -9.779262
   1.28021     -9.790986     -9.790521
   1.31390     -9.794695     -9.794307
   1.31390     -9.794695     -9.794307
   1.34721     -9.790856     -9.790640
   1.38051     -9.779410     -9.779675
   1.41382     -9.760541     -9.761477
   1.44713     -9.734583     -9.736164
   1.48043     -9.702034     -9.703921
   1.51374     -9.663567     -9.664978
   1.54705     -9.620061     -9.619613
   1.58035     -9.572628     -9.568153
   1.61366     -9.522640     -9.510973
   1.64697     -9.471722     -9.448502
   1.68028     -9.421709     -9.381207
   1.71358     -9.374467     -9.309623
   1.74689     -9.331629     -9.234329
   1.78020     -9.294332     -9.155952
   1.81350     -9.263032     -9.075185
   1.84681     -9.237546     -8.992778
   1.88012     -9.217235     -8.909509
   1.91342     -9.201261     -8.826280
   1.94673     -9.188749     -8.767968
   1.98004     -9.178889     -8.766354
   2.01334     -9.170995     -8.765541
   2.04665     -9.164501     -8.765351
   2.07996     -9.158951     -8.765751
   2.11327     -9.153999     -8.766707
   2.14657     -9.149367     -8.768167
   2.17988     -9.144879     -8.770060
   2.21319     -9.140411     -8.772325
   2.24649     -9.135904     -8.774875
   2.27980     -9.131354     -8.777634
   2.31311     -9.126804     -8.780511
   2.34641     -9.122328     -8.783420
   2.37972     -9.118026     -8.786268
   2.41303     -9.114010     -8.788967
   2.44633     -9.110409     -8.791438
   2.47964     -9.107320     -8.793596
   2.51295     -9.104828     -8.795366
   2.54625     -9.103004     -8.796683
   2.57956     -9.101891     -8.797495
   2.61287     -9.101516     -8.797767
 
# Band-Index:    4
   2.61287     -8.346034     -8.287744
   2.57956     -8.341974     -8.283627
   2.54625     -8.329808     -8.271324
   2.51295     -8.309600     -8.250989
   2.47964     -8.281457     -8.222926
   2.44633     -8.245547     -8.187771
   2.41303     -8.202130     -8.147206
   2.37972     -8.151552     -8.108677
   2.34641     -8.094279     -8.098159
   2.31311     -8.030915     -8.114869
   2.27980     -7.962292     -8.142018
   2.24649     -7.889597     -8.176111
   2.21319     -7.814735     -8.216618
   2.17988     -7.741391     -8.263468
   2.14657     -7.678596     -8.316593
   2.11327     -7.650199     -8.375797
   2.07996     -7.685916     -8.440673
   2.04665     -7.769124     -8.510668
   2.01334     -7.870490     -8.585053
   1.98004     -7.977212     -8.662995
   1.94673     -8.083979     -8.743442
   1.91342     -8.187816     -8.769558
   1.88012     -8.286587     -8.772191
   1.84681     -8.378484     -8.775303
   1.81350     -8.461901     -8.778866
   1.78020     -8.535586     -8.782830
   1.74689     -8.598794     -8.787109
   1.71358     -8.651451     -8.791608
   1.68028     -8.694196     -8.796238
   1.64697     -8.728200     -8.800892
   1.61366     -8.754866     -8.805472
   1.58035     -8.775602     -8.809882
   1.54705     -8.791623     -8.814020
   1.51374     -8.803944     -8.817805
   1.48043     -8.813336     -8.821151
   1.44713     -8.820371     -8.823990
   1.41382     -8.825468     -8.826259
   1.38051     -8.828916     -8.827916
   1.34721     -8.830915     -8.828924
   1.31390     -8.831567     -8.829264
   1.31390     -8.831567     -8.829264
   1.28021     -8.831225     -8.828488
   1.24652     -8.830202     -8.826126
   1.21283     -8.828520     -8.822055
   1.17914     -8.826213     -8.816068
   1.14545     -8.823330     -8.807847
   1.11176     -8.819932     -8.796944
   1.07807     -8.816086     -8.782742
   1.04438     -8.811875     -8.764450
   1.01069     -8.807381     -8.741051
   0.97700     -8.802699     -8.711351
   0.94331     -8.797932     -8.674066
   0.90962     -8.793164     -8.627973
   0.87593     -8.788485     -8.572170
   0.84224     -8.783973     -8.506250
   0.80855     -8.779671     -8.430444
