#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 280  30
# Band-Index:    1
   5.19265    -20.068697    -20.071666
   5.22634    -20.022867    -20.027621
   5.26003    -19.975419    -19.982546
   5.29372    -19.926539    -19.936778
   5.32741    -19.876674    -19.890912
   5.36110    -19.826140    -19.845444
   5.39479    -19.775198    -19.800852
   5.42848    -19.724342    -19.757835
   5.46217    -19.673989    -19.717008
   5.49586    -19.624568    -19.678981
   5.52955    -19.576455    -19.644246
   5.56324    -19.530139    -19.613277
   5.59693    -19.485898    -19.586237
   5.63062    -19.444405    -19.563421
   5.66431    -19.405766    -19.544560
   5.69800    -19.370295    -19.529337
   5.73169    -19.338346    -19.517476
   5.76538    -19.309942    -19.508393
   5.79907    -19.285216    -19.501635
   5.83276    -19.264203    -19.496792
   5.86645    -19.246744    -19.493367
   5.90014    -19.232790    -19.491071
   5.93383    -19.222120    -19.489555
   5.96752    -19.214583    -19.488610
   6.00121    -19.210189    -19.488161
   6.03490    -19.208696    -19.487995
   6.03490    -19.487749    -19.208229
   6.06820    -19.487910    -19.209753
   6.10151    -19.488380    -19.214285
   6.13482    -19.489344    -19.222015
   6.16813    -19.490929    -19.233013
   6.20143    -19.493313    -19.247364
   6.23474    -19.496799    -19.265217
   6.26805    -19.501877    -19.286794
   6.30135    -19.508844    -19.312027
   6.33466    -19.518130    -19.340852
   6.36797    -19.530365    -19.373329
   6.40127    -19.545966    -19.409246
   6.43458    -19.565387    -19.448422
   6.46789    -19.588731    -19.490359
   6.50119    -19.616199    -19.534820
   6.53450    -19.647646    -19.581405
   6.56781    -19.682787    -19.629667
   6.60112    -19.721168    -19.679199
   6.63442    -19.762263    -19.729601
   6.66773    -19.805361    -19.780323
   6.70104    -19.849968    -19.831103
   6.73434    -19.895352    -19.881407
   6.76765    -19.941118    -19.931053
   6.80096    -19.986669    -19.979615
   6.83426    -20.031517    -20.026769
   6.86757    -20.075237    -20.072211
   6.90088    -20.117473    -20.115697
   6.93418    -20.157798    -20.156908
   6.96749    -20.195932    -20.195640
   7.00080    -20.231697    -20.231783
   7.03410    -20.264718    -20.265015
   7.06741    -20.294914    -20.295295
   7.10072    -20.321848    -20.322223
   7.13403    -20.345542    -20.345861
   7.16733    -20.365856    -20.366092
   7.20064    -20.382588    -20.382734
   7.23395    -20.395710    -20.395769
   7.26725    -20.405110    -20.405102
   7.30056    -20.410760    -20.410707
   7.33387    -20.412664    -20.412596
   7.33387    -20.412664    -20.412596
   7.37705    -20.409940    -20.409875
   7.42023    -20.401773    -20.401707
   7.46341    -20.388131    -20.388064
   7.50659    -20.369128    -20.369060
   7.54977    -20.344847    -20.344780
   7.59295    -20.315464    -20.315397
   7.63614    -20.281181    -20.281121
   7.67932    -20.242151    -20.242082
   7.72250    -20.198533    -20.198466
   7.76568    -20.150693    -20.150633
   7.80886    -20.098880    -20.098812
   7.85204    -20.043224    -20.043156
   7.89522    -19.984175    -19.984108
   7.93840    -19.922096    -19.922019
   7.98158    -19.857260    -19.857193
   8.02477    -19.790234    -19.790169
   8.06795    -19.721377    -19.721314
   8.11113    -19.651109    -19.651048
   8.15431    -19.579829    -19.579761
   8.19749    -19.508080    -19.508011
