filename,m1_muB,m2_muB,m_total_muB,condition_met
POSCAR_Cr2Se2_1_z050,3.832,-3.832,0.0,True
POSCAR_Cr2Se2_1_z950,3.783,-3.783,0.0,True
POSCAR_Cr2Se2_1_z975,3.797,-3.797,0.0,True
POSCAR_Cr2Se2_2,3.812,-3.811,0.0,True
POSCAR_Cr2Se2_2_st025,3.845,-3.845,0.0,True
POSCAR_Cr2Se2_2_st050,3.875,-3.875,0.0,True
POSCAR_Cr2Se2_2_st950,3.727,-3.726,0.0,True
POSCAR_Cr2Se2_2_st975,3.773,-3.773,0.0,True
POSCAR_Cr2Se2_2_x025,3.821,-3.823,-0.002,True
POSCAR_Cr2Se2_2_x050,3.83,-3.834,-0.004,True
POSCAR_Cr2Se2_2_x950,3.788,-3.785,0.003,True
POSCAR_Cr2Se2_2_x975,3.801,-3.799,0.002,True
POSCAR_Cr2Se2_2_y025,3.825,-3.823,0.002,True
POSCAR_Cr2Se2_2_y050,3.837,-3.833,0.004,True
POSCAR_Cr2Se2_2_y950,3.782,-3.786,-0.004,True
POSCAR_Cr2Se2_2_y975,3.798,-3.799,-0.002,True
POSCAR_Cr2Se2_2_z025,3.823,-3.823,0.0,True
POSCAR_Cr2Se2_2_z050,3.834,-3.834,0.0,True
POSCAR_Cr2Se2_2_z950,3.786,-3.786,0.0,True
POSCAR_Cr2Se2_2_z975,3.799,-3.799,0.0,True
POSCAR_Cr2Se4_1,3.713,-3.713,0.001,True
POSCAR_Cr2Se4_1_st025,3.764,-3.766,-0.002,True
POSCAR_Cr2Se4_1_x025,3.735,-3.739,-0.008,True
POSCAR_Cr2Se4_1_x050,3.758,-3.758,0.002,True
POSCAR_Cr2Se4_1_x975,3.683,-3.684,-0.0,True
POSCAR_Cr2Se4_1_y025,3.721,-3.723,-0.0,True
POSCAR_Cr2Se4_1_y050,3.731,-3.733,-0.002,True
POSCAR_Cr2Se4_1_y950,3.696,-3.699,-0.004,True
POSCAR_Cr2Se4_1_y975,3.702,-3.706,-0.004,True
POSCAR_Cr2Se4_1_z025,3.778,-3.776,0.001,True
POSCAR_Cr2Se4_1_z050,3.729,-3.73,-0.003,True
POSCAR_Cr2Se4_1_z950,3.667,-3.67,-0.005,True
POSCAR_Cr2Se4_1_z975,3.692,-3.695,-0.002,True
POSCAR_Cr2Si4_1,3.451,-3.451,-0.0,True
POSCAR_Cr2Si4_1_st950,2.854,-2.854,0.0,True
POSCAR_Cr2Si4_1_st975,3.172,-3.172,0.0,True
POSCAR_Cr2Si4_1_x025,3.514,-3.514,-0.0,True
POSCAR_Cr2Si4_1_x050,3.582,-3.582,0.001,True
POSCAR_Cr2Si4_1_x950,3.295,-3.296,-0.0,True
POSCAR_Cr2Si4_1_x975,3.367,-3.368,-0.001,True
POSCAR_Cr2Si4_1_y025,3.514,-3.515,-0.0,True
POSCAR_Cr2Si4_1_y050,3.582,-3.583,-0.001,True
POSCAR_Cr2Si4_1_y950,3.295,-3.295,-0.0,True
POSCAR_Cr2Si4_1_y975,3.367,-3.367,0.0,True
POSCAR_Cr2Si4_1_z025,3.506,-3.506,0.0,True
POSCAR_Cr2Si4_1_z050,3.564,-3.563,0.0,True
POSCAR_Cr2Si4_1_z950,3.315,-3.315,0.0,True
POSCAR_Cr2Si4_1_z975,3.384,-3.383,0.001,True
POSCAR_Cr2Sn2_2,4.038,-4.038,-0.001,True
POSCAR_Cr2Sn2_2_st025,4.083,-4.083,-0.001,True
POSCAR_Cr2Sn2_2_st050,4.123,-4.123,-0.0,True
POSCAR_Cr2Sn2_2_st950,3.924,-3.924,-0.001,True
POSCAR_Cr2Sn2_2_st975,3.987,-3.986,0.001,True
POSCAR_Cr2Sn2_2_x025,4.052,-4.052,0.001,True
POSCAR_Cr2Sn2_2_x050,4.067,-4.066,0.0,True
POSCAR_Cr2Sn2_2_x950,4.004,-4.004,0.0,True
POSCAR_Cr2Sn2_2_x975,4.022,-4.021,0.0,True
POSCAR_Cr2Sn2_2_y025,4.052,-4.052,0.001,True
POSCAR_Cr2Sn2_2_y050,4.067,-4.066,0.0,True
POSCAR_Cr2Sn2_2_y950,4.004,-4.004,0.0,True
POSCAR_Cr2Sn2_2_y975,4.022,-4.021,0.0,True
POSCAR_Cr2Sn2_2_z025,4.056,-4.055,0.003,True
POSCAR_Cr2Sn2_2_z050,4.073,-4.073,-0.0,True
POSCAR_Cr2Sn2_2_z950,3.999,-3.997,0.004,True
POSCAR_Cr2Sn2_2_z975,4.019,-4.015,0.007,True
POSCAR_Cr2Te2_1,3.89,-3.89,0.0,True
POSCAR_Cr2Te2_1_st025,3.926,-3.926,0.0,True
POSCAR_Cr2Te2_1_st050,3.958,-3.958,0.0,True
POSCAR_Cr2Te2_1_st950,3.801,-3.801,0.0,True
POSCAR_Cr2Te2_1_st975,3.85,-3.85,0.0,True
POSCAR_Cr2Te2_1_x025,3.902,-3.902,0.0,True
POSCAR_Cr2Te2_1_x050,3.912,-3.912,0.0,True
POSCAR_Cr2Te2_1_x950,3.865,-3.865,0.0,True
POSCAR_Cr2Te2_1_x975,3.878,-3.878,0.0,True
POSCAR_Cr2Te2_1_y025,3.902,-3.902,0.0,True
POSCAR_Cr2Te2_1_y050,3.912,-3.912,0.0,True
POSCAR_Cr2Te2_1_y950,3.865,-3.865,0.0,True
POSCAR_Cr2Te2_1_y975,3.878,-3.878,0.0,True
POSCAR_Cr2Te2_1_z025,3.904,-3.904,0.0,True
POSCAR_Cr2Te2_1_z050,3.917,-3.917,0.0,True
POSCAR_Cr2Te2_1_z950,3.86,-3.86,0.0,True
POSCAR_Cr2Te2_1_z975,3.876,-3.876,0.0,True
POSCAR_Cr2Te4_1,3.847,-3.847,0.001,True
POSCAR_Cr2Te4_1_st025,3.887,-3.887,0.001,True
POSCAR_Cr2Te4_1_st050,3.922,-3.921,0.001,True
POSCAR_Cr2Te4_1_st950,3.738,-3.738,0.001,True
POSCAR_Cr2Te4_1_st975,3.8,-3.8,0.0,True
POSCAR_Cr2Te4_1_x025,3.868,-3.867,0.001,True
POSCAR_Cr2Te4_1_x050,3.889,-3.888,0.002,True
POSCAR_Cr2Te4_1_x950,3.803,-3.802,0.002,True
POSCAR_Cr2Te4_1_x975,3.826,-3.825,0.001,True
POSCAR_Cr2Te4_1_y025,3.854,-3.853,0.001,True
POSCAR_Cr2Te4_1_y050,3.861,-3.86,0.001,True
POSCAR_Cr2Te4_1_y950,3.842,-3.841,0.001,True
POSCAR_Cr2Te4_1_y975,3.843,-3.842,0.001,True
POSCAR_Cr2Te4_1_z025,3.864,-3.864,0.001,True
POSCAR_Cr2Te4_1_z050,3.879,-3.878,0.0,True
POSCAR_Cr2Te4_1_z950,3.816,-3.815,0.001,True
POSCAR_Cr2Te4_1_z975,3.831,-3.83,0.002,True
POSCAR_Cr2Te8_2,3.71,-3.713,-0.001,True
POSCAR_Cr2Te8_2_st975,3.624,-3.627,-0.001,True
POSCAR_Cr2Te8_2_x025,3.724,-3.73,-0.018,False
POSCAR_Cr2Te8_2_x050,3.747,-3.752,-0.017,False
POSCAR_Cr2Te8_2_x950,3.692,-3.697,-0.019,False
POSCAR_Cr2Te8_2_x975,3.7,-3.705,-0.02,False
POSCAR_Cr2Te8_2_y025,3.739,-3.746,-0.034,False
POSCAR_Cr2Te8_2_y050,3.77,-3.776,-0.023,False
POSCAR_Cr2Te8_2_y950,3.656,-3.665,-0.025,False
POSCAR_Cr2Te8_2_y975,3.683,-3.687,-0.008,True
POSCAR_Cr2Te8_2_z025,3.749,-3.752,-0.015,False
POSCAR_Cr2Te8_2_z050,3.784,-3.786,-0.006,True
POSCAR_Cr2Te8_2_z950,3.637,-3.643,-0.009,True
POSCAR_Cr2Te8_2_z975,3.672,-3.678,-0.019,False
POSCAR_Cu2F4_1,0.847,-0.847,0.0,True
POSCAR_Cu2F4_1_st025,0.853,-0.853,0.0,True
POSCAR_Cu2F4_1_st050,0.857,-0.857,0.0,True
POSCAR_Cu2F4_1_st950,0.829,-0.829,0.0,True
POSCAR_Cu2F4_1_st975,0.839,-0.839,0.0,True
POSCAR_Cu2F4_1_x025,0.848,-0.848,0.0,True
POSCAR_Cu2F4_1_x050,0.849,-0.849,-0.0,True
POSCAR_Cu2F4_1_x950,0.844,-0.844,0.0,True
POSCAR_Cu2F4_1_x975,0.846,-0.846,0.0,True
POSCAR_Cu2F4_1_y025,0.85,-0.85,0.0,True
POSCAR_Cu2F4_1_y050,0.852,-0.852,0.0,True
POSCAR_Cu2F4_1_y950,0.841,-0.841,0.0,True
POSCAR_Cu2F4_1_y975,0.844,-0.844,0.0,True
POSCAR_Cu2F4_1_z025,0.85,-0.85,0.0,True
POSCAR_Cu2F4_1_z050,0.852,-0.852,0.0,True
POSCAR_Cu2F4_1_z950,0.841,-0.841,0.0,True
POSCAR_Cu2F4_1_z975,0.844,-0.844,0.0,True
POSCAR_Cu2F6_1,1.103,-1.103,-0.0,True
POSCAR_Cu2F6_1_st025,1.079,-1.079,0.0,True
POSCAR_Cu2F6_1_st050,1.051,-1.05,0.0,True
POSCAR_Cu2F6_1_st950,1.137,-1.137,-0.0,True
POSCAR_Cu2F6_1_st975,1.122,-1.122,-0.0,True
POSCAR_Cu2F6_1_x025,1.094,-1.094,0.0,True
POSCAR_Cu2F6_1_x050,1.084,-1.084,0.0,True
POSCAR_Cu2F6_1_x950,1.117,-1.117,-0.0,True
POSCAR_Cu2F6_1_x975,1.111,-1.111,-0.0,True
POSCAR_Cu2F6_1_y025,1.096,-1.096,-0.0,True
POSCAR_Cu2F6_1_y050,1.087,-1.087,-0.0,True
POSCAR_Cu2F6_1_y950,1.113,-1.113,-0.0,True
POSCAR_Cu2F6_1_y975,1.109,-1.109,-0.0,True
POSCAR_Cu2F6_1_z025,1.096,-1.096,-0.0,True
POSCAR_Cu2F6_1_z050,1.087,-1.087,-0.0,True
POSCAR_Cu2F6_1_z950,1.113,-1.113,-0.0,True
POSCAR_Cu2F6_1_z975,1.109,-1.109,-0.0,True
POSCAR_Cu2F6_2,1.11,-1.11,0.0,True
POSCAR_Cu2F6_2_st025,1.088,-1.088,-0.0,True
POSCAR_Cu2F6_2_st050,1.061,-1.061,-0.0,True
POSCAR_Cu2F6_2_st950,1.14,-1.14,0.0,True
POSCAR_Cu2F6_2_st975,1.128,-1.128,-0.0,True
POSCAR_Cu2F6_2_x025,1.103,-1.103,-0.0,True
POSCAR_Cu2F6_2_x050,1.095,-1.095,-0.0,True
POSCAR_Cu2F6_2_x950,1.121,-1.12,0.0,True
POSCAR_Cu2F6_2_x975,1.116,-1.116,0.0,True
POSCAR_Cu2F6_2_y025,1.103,-1.103,0.0,True
POSCAR_Cu2F6_2_y050,1.095,-1.095,0.0,True
POSCAR_Cu2F6_2_y950,1.12,-1.121,-0.0,True
POSCAR_Cu2F6_2_y975,1.116,-1.116,-0.0,True
POSCAR_Cu2F6_2_z025,1.103,-1.103,0.0,True
POSCAR_Cu2F6_2_z050,1.093,-1.094,-0.0,True
POSCAR_Cu2F6_2_z950,1.121,-1.121,-0.0,True
POSCAR_Cu2F6_2_z975,1.117,-1.117,0.0,True
POSCAR_Cu2O2_1,0.648,-0.648,-0.0,True
POSCAR_Cu2O2_1_st025,0.656,-0.656,-0.0,True
POSCAR_Cu2O2_1_st050,0.66,-0.66,-0.0,True
POSCAR_Cu2O2_1_st950,0.623,-0.623,-0.0,True
POSCAR_Cu2O2_1_st975,0.637,-0.637,-0.0,True
POSCAR_Cu2O2_1_x025,0.649,-0.649,0.001,True
POSCAR_Cu2O2_1_x050,0.647,-0.65,0.002,True
POSCAR_Cu2O2_1_x950,0.636,-0.641,-0.003,True
POSCAR_Cu2O2_1_x975,0.643,-0.645,-0.001,True
POSCAR_Cu2O2_1_y025,0.649,-0.649,-0.001,True
POSCAR_Cu2O2_1_y050,0.65,-0.648,-0.002,True
POSCAR_Cu2O2_1_y950,0.641,-0.636,0.003,True
POSCAR_Cu2O2_1_y975,0.645,-0.644,0.001,True
POSCAR_Cu2O2_1_z025,0.651,-0.651,-0.0,True
POSCAR_Cu2O2_1_z050,0.653,-0.653,-0.0,True
POSCAR_Cu2O2_1_z950,0.634,-0.634,-0.0,True
POSCAR_Cu2O2_1_z975,0.642,-0.642,-0.0,True
POSCAR_Cu2O2_4,0.752,-0.751,-0.0,True
POSCAR_Cu2O2_4_st025,0.754,-0.754,-0.0,True
POSCAR_Cu2O2_4_st050,0.753,-0.753,0.0,True
POSCAR_Cu2O2_4_st950,0.738,-0.738,0.0,True
POSCAR_Cu2O2_4_st975,0.746,-0.746,0.0,True
POSCAR_Cu2O2_4_x025,0.752,-0.753,-0.001,True
POSCAR_Cu2O2_4_x050,0.752,-0.754,-0.001,True
POSCAR_Cu2O2_4_x950,0.748,-0.746,0.002,True
POSCAR_Cu2O2_4_x975,0.75,-0.749,0.001,True
POSCAR_Cu2O2_4_y025,0.751,-0.75,0.001,True
POSCAR_Cu2O2_4_y050,0.75,-0.749,0.001,True
POSCAR_Cu2O2_4_y950,0.75,-0.753,-0.002,True
POSCAR_Cu2O2_4_y975,0.751,-0.753,-0.001,True
POSCAR_Cu2O2_4_z025,0.754,-0.754,-0.0,True
POSCAR_Cu2O2_4_z050,0.756,-0.755,-0.0,True
POSCAR_Cu2O2_4_z950,0.742,-0.742,0.0,True
POSCAR_Cu2O2_4_z975,0.748,-0.748,0.0,True
POSCAR_Cu2O2_6,0.449,-0.45,-0.001,True
POSCAR_Cu2O2_6_st025,0.458,-0.458,-0.0,True
POSCAR_Cu2O2_6_st050,0.454,-0.454,0.0,True
POSCAR_Cu2O2_6_st950,0.415,-0.417,-0.003,True
POSCAR_Cu2O2_6_st975,0.435,-0.435,-0.0,True
POSCAR_Cu2O2_6_x025,0.458,-0.458,0.0,True
POSCAR_Cu2O2_6_x050,0.47,-0.469,0.001,True
POSCAR_Cu2O2_6_x950,0.576,-0.576,-0.0,True
POSCAR_Cu2O2_6_x975,0.488,-0.488,-0.001,True
POSCAR_Cu2O2_6_y025,0.456,-0.456,-0.001,True
POSCAR_Cu2O2_6_y050,0.466,-0.467,-0.001,True
POSCAR_Cu2O2_6_y950,0.582,-0.591,0.009,True
POSCAR_Cu2O2_6_y975,0.491,-0.491,0.001,True
POSCAR_Cu2O2_6_z025,0.477,-0.477,-0.0,True
POSCAR_Cu2O2_6_z050,0.49,-0.49,-0.0,True
POSCAR_Cu2O2_6_z950,0.358,-0.358,0.0,True
POSCAR_Cu2O2_6_z975,0.419,-0.419,-0.001,True
POSCAR_Cu2O4_1,0.679,-0.679,-0.0,True
POSCAR_Cu2O4_1_st025,0.682,-0.683,-0.0,True
POSCAR_Cu2O4_1_st050,0.682,-0.682,-0.0,True
POSCAR_Cu2O4_1_st950,0.661,-0.662,-0.0,True
POSCAR_Cu2O4_1_st975,0.672,-0.672,-0.0,True
POSCAR_Cu2O4_1_x025,0.676,-0.676,-0.0,True
POSCAR_Cu2O4_1_x050,0.672,-0.672,-0.0,True
POSCAR_Cu2O4_1_x950,0.681,-0.681,-0.0,True
POSCAR_Cu2O4_1_x975,0.681,-0.681,-0.0,True
POSCAR_Cu2O4_1_y025,0.682,-0.682,-0.0,True
POSCAR_Cu2O4_1_y050,0.683,-0.683,-0.0,True
POSCAR_Cu2O4_1_y950,0.67,-0.67,-0.0,True
POSCAR_Cu2O4_1_y975,0.675,-0.675,-0.0,True
POSCAR_Cu2O4_1_z025,0.683,-0.683,-0.0,True
POSCAR_Cu2O4_1_z050,0.686,-0.686,-0.0,True
POSCAR_Cu2O4_1_z950,0.667,-0.667,-0.0,True
POSCAR_Cu2O4_1_z975,0.674,-0.674,-0.0,True
POSCAR_F10Zr2_1,-0.002,0.002,0.0,True
POSCAR_F10Zr2_1_x025,0.0,-0.0,0.0,True
POSCAR_F10Zr2_1_x050,0.0,0.0,-0.0,True
POSCAR_F10Zr2_1_x950,0.0,-0.0,-0.0,True
POSCAR_F10Zr2_1_x975,-0.0,0.0,-0.0,True
POSCAR_F10Zr2_1_y025,0.0,-0.0,-0.0,True
POSCAR_F10Zr2_1_y050,0.0,-0.0,0.0,True
POSCAR_F10Zr2_1_y950,-0.0,0.0,0.0,True
POSCAR_F10Zr2_1_y975,0.0,0.0,0.0,True
POSCAR_F10Zr2_1_z025,0.0,-0.0,0.0,True
POSCAR_F10Zr2_1_z050,-0.0,0.0,0.0,True
POSCAR_F10Zr2_1_z950,-0.0,-0.0,-0.0,True
POSCAR_F10Zr2_1_z975,0.0,-0.0,0.0,True
POSCAR_F4Fe2_2,3.809,-3.809,0.0,True
POSCAR_F4Fe2_2_st025,3.813,-3.813,0.0,True
POSCAR_F4Fe2_2_st950,3.798,-3.798,0.0,True
POSCAR_F4Fe2_2_st975,3.804,-3.804,0.0,True
POSCAR_F4Fe2_2_x025,3.81,-3.81,0.0,True
POSCAR_F4Fe2_2_x050,3.812,-3.812,0.0,True
POSCAR_F4Fe2_2_x950,3.804,-3.804,0.0,True
POSCAR_F4Fe2_2_x975,3.807,-3.807,0.0,True
POSCAR_F4Fe2_2_y025,3.809,-3.809,0.0,True
POSCAR_F4Fe2_2_y050,3.81,-3.81,0.0,True
POSCAR_F4Fe2_2_y950,3.806,-3.806,0.0,True
POSCAR_F4Fe2_2_y975,3.807,-3.807,0.0,True
POSCAR_F4Fe2_2_z025,3.81,-3.81,0.0,True
POSCAR_F4Fe2_2_z050,3.811,-3.811,0.0,True
POSCAR_F4Fe2_2_z950,3.804,-3.804,0.0,True
POSCAR_F4Fe2_2_z975,3.807,-3.807,0.0,True
POSCAR_F4Mn2_1,4.678,-4.678,-0.0,True
POSCAR_F4Mn2_1_st025,4.69,-4.69,-0.0,True
POSCAR_F4Mn2_1_st050,4.699,-4.699,-0.0,True
POSCAR_F4Mn2_1_st950,4.649,-4.649,-0.0,True
POSCAR_F4Mn2_1_st975,4.665,-4.665,-0.0,True
POSCAR_F4Mn2_1_x025,4.683,-4.683,-0.0,True
POSCAR_F4Mn2_1_x050,4.687,-4.687,-0.0,True
POSCAR_F4Mn2_1_x950,4.667,-4.667,-0.0,True
POSCAR_F4Mn2_1_x975,4.673,-4.673,-0.0,True
POSCAR_F4Mn2_1_y025,4.682,-4.682,-0.0,True
POSCAR_F4Mn2_1_y050,4.685,-4.685,-0.0,True
POSCAR_F4Mn2_1_y950,4.671,-4.671,-0.0,True
POSCAR_F4Mn2_1_y975,4.675,-4.675,-0.0,True
POSCAR_F4Mn2_1_z025,4.682,-4.682,-0.0,True
POSCAR_F4Mn2_1_z050,4.685,-4.685,-0.0,True
POSCAR_F4Mn2_1_z950,4.671,-4.671,0.0,True
POSCAR_F4Mn2_1_z975,4.675,-4.675,-0.0,True
POSCAR_F4Ni2_1,1.88,-1.88,-0.0,True
POSCAR_F4Ni2_1_st025,1.883,-1.883,-0.0,True
POSCAR_F4Ni2_1_st050,1.886,-1.886,-0.0,True
POSCAR_F4Ni2_1_st950,1.873,-1.873,-0.0,True
POSCAR_F4Ni2_1_st975,1.876,-1.876,-0.0,True
POSCAR_F4Ni2_1_x025,1.881,-1.881,-0.0,True
POSCAR_F4Ni2_1_x050,1.883,-1.883,-0.0,True
POSCAR_F4Ni2_1_x950,1.876,-1.876,-0.0,True
POSCAR_F4Ni2_1_x975,1.878,-1.878,-0.0,True
POSCAR_F4Ni2_1_y025,1.88,-1.88,-0.0,True
POSCAR_F4Ni2_1_y050,1.881,-1.881,-0.0,True
POSCAR_F4Ni2_1_y950,1.878,-1.878,-0.0,True
POSCAR_F4Ni2_1_y975,1.879,-1.879,-0.0,True
POSCAR_F4Ni2_1_z025,1.88,-1.88,-0.0,True
POSCAR_F4Ni2_1_z050,1.881,-1.881,-0.0,True
POSCAR_F4Ni2_1_z950,1.878,-1.878,-0.0,True
POSCAR_F4Ni2_1_z975,1.879,-1.879,-0.0,True
POSCAR_F4Sc2_1,0.756,-0.756,0.001,True
POSCAR_F4Sc2_1_st950,0.202,-0.206,-0.004,True
POSCAR_F4Sc2_1_x050,0.327,-0.325,0.002,True
POSCAR_F4Sc2_1_x975,0.349,-0.34,0.009,True
POSCAR_F4Sc2_1_y025,0.217,-0.223,-0.006,True
POSCAR_F4Sc2_1_y050,0.223,-0.229,-0.006,True
POSCAR_F4Sc2_1_y950,0.192,-0.192,0.0,True
POSCAR_F4Sc2_1_y975,0.188,-0.177,0.012,False
POSCAR_F4Sc2_1_z025,0.217,-0.223,-0.006,True
POSCAR_F4Sc2_1_z050,0.223,-0.23,-0.007,True
POSCAR_F4Sc2_1_z950,0.191,-0.189,0.002,True
POSCAR_F4Sc2_1_z975,0.182,-0.189,-0.007,True
POSCAR_F4V2_1,2.759,-2.759,-0.0,True
POSCAR_F4V2_1_st025,2.764,-2.764,-0.0,True
POSCAR_F4V2_1_st050,2.769,-2.769,-0.0,True
POSCAR_F4V2_1_st950,2.746,-2.746,-0.0,True
POSCAR_F4V2_1_st975,2.753,-2.753,-0.0,True
POSCAR_F4V2_1_x025,2.76,-2.76,-0.0,True
POSCAR_F4V2_1_x050,2.761,-2.761,-0.0,True
POSCAR_F4V2_1_x950,2.755,-2.755,-0.0,True
POSCAR_F4V2_1_x975,2.757,-2.757,-0.0,True
POSCAR_F4V2_1_y025,2.76,-2.76,-0.0,True
POSCAR_F4V2_1_y050,2.762,-2.762,-0.0,True
POSCAR_F4V2_1_y950,2.754,-2.754,-0.0,True
POSCAR_F4V2_1_y975,2.756,-2.756,-0.0,True
POSCAR_F4V2_1_z025,2.76,-2.76,-0.0,True
POSCAR_F4V2_1_z050,2.762,-2.762,-0.0,True
POSCAR_F4V2_1_z950,2.754,-2.754,-0.0,True
POSCAR_F4V2_1_z975,2.756,-2.756,-0.0,True
POSCAR_F4Y2_1,0.057,-0.06,-0.003,True
POSCAR_F4Y2_1_x025,-0.0,-0.0,-0.0,True
POSCAR_F4Y2_1_x050,-0.0,-0.0,-0.0,True
POSCAR_F4Y2_1_x950,-0.005,-0.004,-0.009,True
POSCAR_F4Y2_1_x975,0.004,0.008,0.012,False
POSCAR_F4Y2_1_y025,-0.0,0.002,0.002,True
POSCAR_F4Y2_1_y050,0.025,-0.129,-0.107,False
POSCAR_F4Y2_1_y950,0.0,0.0,0.001,True
POSCAR_F4Y2_1_y975,0.001,-0.002,-0.001,True
POSCAR_F4Y2_1_z025,-0.017,-0.124,-0.146,False
POSCAR_F4Y2_1_z050,0.131,-0.025,0.108,False
POSCAR_F4Y2_1_z950,-0.0,-0.0,-0.001,True
POSCAR_F4Y2_1_z975,-0.0,-0.0,-0.001,True
POSCAR_F6Fe2_1,4.368,-4.368,-0.0,True
POSCAR_F6Fe2_1_st025,4.368,-4.368,-0.0,True
POSCAR_F6Fe2_1_st050,4.364,-4.364,-0.0,True
POSCAR_F6Fe2_1_st950,4.36,-4.36,-0.0,True
POSCAR_F6Fe2_1_st975,4.365,-4.365,-0.0,True
POSCAR_F6Fe2_1_x025,4.368,-4.368,-0.0,True
POSCAR_F6Fe2_1_x050,4.368,-4.368,-0.0,True
POSCAR_F6Fe2_1_x950,4.366,-4.366,-0.001,True
POSCAR_F6Fe2_1_x975,4.367,-4.367,-0.0,True
POSCAR_F6Fe2_1_y025,4.368,-4.368,0.0,True
POSCAR_F6Fe2_1_y050,4.368,-4.368,0.0,True
POSCAR_F6Fe2_1_y950,4.366,-4.366,0.0,True
POSCAR_F6Fe2_1_y975,4.367,-4.367,0.0,True
POSCAR_F6Fe2_1_z025,4.368,-4.368,-0.0,True
POSCAR_F6Fe2_1_z050,4.367,-4.367,-0.0,True
POSCAR_F6Fe2_1_z950,4.366,-4.366,0.0,True
POSCAR_F6Fe2_1_z975,4.368,-4.368,-0.0,True
POSCAR_F6Fe2_2,4.368,-4.368,0.0,True
POSCAR_F6Fe2_2_st025,4.364,-4.364,0.0,True
POSCAR_F6Fe2_2_st050,4.357,-4.357,0.0,True
POSCAR_F6Fe2_2_st950,4.369,-4.369,0.0,True
POSCAR_F6Fe2_2_st975,4.37,-4.37,0.0,True
POSCAR_F6Fe2_2_x025,4.367,-4.367,0.0,True
POSCAR_F6Fe2_2_x050,4.365,-4.365,0.0,True
POSCAR_F6Fe2_2_x950,4.368,-4.368,0.001,True
POSCAR_F6Fe2_2_x975,4.369,-4.368,0.0,True
POSCAR_F6Fe2_2_y025,4.367,-4.367,-0.0,True
POSCAR_F6Fe2_2_y050,4.365,-4.365,-0.0,True
POSCAR_F6Fe2_2_y950,4.368,-4.368,-0.0,True
POSCAR_F6Fe2_2_y975,4.368,-4.368,-0.0,True
POSCAR_F6Fe2_2_z025,4.366,-4.366,0.0,True
POSCAR_F6Fe2_2_z050,4.364,-4.364,0.0,True
POSCAR_F6Fe2_2_z950,4.368,-4.368,0.0,True
POSCAR_F6Fe2_2_z975,4.369,-4.369,0.0,True
POSCAR_F6Mn2_1,3.814,-3.813,-0.0,True
POSCAR_F6Mn2_1_st025,3.867,-3.866,-0.0,True
POSCAR_F6Mn2_1_st050,3.926,-3.926,-0.0,True
POSCAR_F6Mn2_1_st950,3.716,-3.716,-0.0,True
POSCAR_F6Mn2_1_st975,3.764,-3.764,-0.0,True
POSCAR_F6Mn2_1_x025,3.827,-3.834,-0.001,True
POSCAR_F6Mn2_1_x050,3.84,-3.855,-0.001,True
POSCAR_F6Mn2_1_x950,3.785,-3.777,0.001,True
POSCAR_F6Mn2_1_x975,3.799,-3.794,0.001,True
POSCAR_F6Mn2_1_y025,3.838,-3.825,0.002,True
POSCAR_F6Mn2_1_y050,3.864,-3.836,0.005,True
POSCAR_F6Mn2_1_y950,3.765,-3.791,-0.006,True
POSCAR_F6Mn2_1_y975,3.789,-3.802,-0.003,True
POSCAR_F6Mn2_1_z025,3.826,-3.834,-0.002,True
POSCAR_F6Mn2_1_z050,3.839,-3.856,-0.004,True
POSCAR_F6Mn2_1_z950,3.789,-3.775,0.004,True
POSCAR_F6Mn2_1_z975,3.801,-3.794,0.002,True
POSCAR_F6Mn2_4,3.819,-3.819,0.0,True
POSCAR_F6Mn2_4_st025,3.873,-3.873,0.0,True
POSCAR_F6Mn2_4_st050,3.935,-3.935,0.0,True
POSCAR_F6Mn2_4_st950,3.72,-3.72,0.0,True
POSCAR_F6Mn2_4_st975,3.769,-3.769,0.0,True
POSCAR_F6Mn2_4_x025,3.838,-3.838,0.0,True
POSCAR_F6Mn2_4_x050,3.858,-3.858,0.0,True
POSCAR_F6Mn2_4_x950,3.784,-3.784,0.0,True
POSCAR_F6Mn2_4_x975,3.801,-3.801,0.0,True
POSCAR_F6Mn2_4_y025,3.836,-3.836,0.0,True
POSCAR_F6Mn2_4_y050,3.853,-3.853,0.0,True
POSCAR_F6Mn2_4_y950,3.786,-3.786,0.0,True
POSCAR_F6Mn2_4_y975,3.802,-3.802,0.0,True
POSCAR_F6Mn2_4_z025,3.836,-3.836,0.0,True
POSCAR_F6Mn2_4_z050,3.853,-3.853,0.0,True
POSCAR_F6Mn2_4_z950,3.786,-3.786,0.0,True
POSCAR_F6Mn2_4_z975,3.802,-3.802,0.0,True
POSCAR_F6Mn2_5,3.824,-3.824,-0.0,True
POSCAR_F6Mn2_5_st025,3.874,-3.874,-0.0,True
POSCAR_F6Mn2_5_st050,3.931,-3.932,-0.0,True
POSCAR_F6Mn2_5_st950,3.736,-3.736,-0.0,True
POSCAR_F6Mn2_5_st975,3.779,-3.779,-0.0,True
POSCAR_F6Mn2_5_x025,3.839,-3.839,-0.0,True
POSCAR_F6Mn2_5_x050,3.853,-3.853,-0.0,True
POSCAR_F6Mn2_5_x950,3.79,-3.791,-0.0,True
POSCAR_F6Mn2_5_x975,3.808,-3.808,-0.0,True
POSCAR_F6Mn2_5_y025,3.838,-3.838,-0.0,True
POSCAR_F6Mn2_5_y050,3.852,-3.852,-0.0,True
