filename,m1_muB,m2_muB,m_total_muB,condition_met
POSCAR_B2Fe2_3_st950,1.755,-1.755,0.0,True
POSCAR_B2Fe2_3_st975,2.155,-2.154,0.001,True
POSCAR_B2Fe2_4,2.762,-2.758,0.004,True
POSCAR_B2Fe2_4_st025,2.889,-2.887,0.003,True
POSCAR_B2Fe2_4_st050,2.993,-2.992,0.001,True
POSCAR_B2Fe2_4_st950,2.336,-2.336,-0.0,True
POSCAR_B2Fe2_4_st975,2.602,-2.599,0.003,True
POSCAR_B2Fe2_5,3.163,-3.161,0.002,True
POSCAR_B2Fe2_5_st975,3.05,-3.049,0.001,True
POSCAR_B2Mo2_4,1.226,-1.226,0.0,True
POSCAR_B2Mo2_4_st025,1.534,-1.535,-0.0,True
POSCAR_B2Mo2_4_st050,1.796,-1.795,0.0,True
POSCAR_B2Mo2_4_st950,0.505,-0.506,-0.001,True
POSCAR_B2Mo2_4_st975,0.753,-0.753,0.0,True
POSCAR_B2Rh2_3,0.127,-0.127,0.0,True
POSCAR_B8Co2_1,1.006,-1.006,-0.0,True
POSCAR_B8Co2_1_st025,1.201,-1.201,-0.0,True
POSCAR_B8Co2_1_st050,1.379,-1.379,-0.0,True
POSCAR_B8Co2_1_st950,0.431,-0.431,-0.0,True
POSCAR_B8Co2_1_st975,0.741,-0.741,-0.0,True
POSCAR_B8Fe2_1,2.257,-2.255,0.002,True
POSCAR_B8Fe2_1_st025,2.558,-2.559,-0.001,True
POSCAR_Bi2Co2_1,1.7,-1.699,0.001,True
POSCAR_Bi2Co2_1_st025,1.881,-1.882,-0.0,True
POSCAR_Bi2Co2_1_st050,2.011,-2.011,-0.0,True
POSCAR_Bi2Co2_1_st950,0.84,-0.842,-0.001,True
POSCAR_Bi2Mn2_1,4.436,-4.436,-0.001,True
POSCAR_Bi2Mn2_1_st025,4.494,-4.496,-0.004,True
POSCAR_Bi2Mn2_1_st050,4.541,-4.542,-0.001,True
POSCAR_Bi2Mn2_1_st950,4.283,-4.284,-0.002,True
POSCAR_Bi2Mn2_1_st975,4.368,-4.368,-0.001,True
POSCAR_Bi2Nb2_2,0.494,-0.493,0.001,True
POSCAR_Bi2Nb2_2_st950,0.02,-0.02,0.0,True
POSCAR_Bi2Nb2_2_st975,0.035,-0.034,0.001,True
POSCAR_Bi2Ru2_1,1.384,-1.384,-0.0,True
POSCAR_Bi2Ru2_1_st025,1.619,-1.617,0.002,True
POSCAR_Bi2Ru2_1_st050,1.873,-1.871,0.003,True
POSCAR_Bi2Ru2_1_st950,0.888,-0.888,0.0,True
POSCAR_Bi2Ru2_1_x025,1.47,-1.472,-0.001,True
POSCAR_Bi2Ru2_1_x050,1.537,-1.542,-0.006,True
POSCAR_Bi2Ru2_1_x950,1.152,-1.145,0.006,True
POSCAR_Bi2Ru2_1_x975,1.142,-1.143,-0.001,True
POSCAR_Bi2Ru2_1_y025,1.315,-1.312,0.002,True
POSCAR_Bi2Ru2_1_y050,1.515,-1.511,0.004,True
POSCAR_Bi2Ru2_1_y950,1.319,-1.322,-0.002,True
POSCAR_Bi2Ru2_1_y975,1.35,-1.35,-0.0,True
POSCAR_Bi2Ru2_1_z025,1.49,-1.485,0.005,True
POSCAR_Bi2Ru2_1_z050,1.565,-1.565,0.0,True
POSCAR_Bi2Ru2_1_z950,1.036,-1.051,-0.013,False
POSCAR_Bi2Ru2_1_z975,1.14,-1.139,0.001,True
POSCAR_Bi2Ti2_1,0.914,-0.914,-0.001,True
POSCAR_Bi2Ti2_1_st025,1.015,-1.015,0.0,True
POSCAR_Bi2Ti2_1_st050,1.112,-1.111,0.001,True
POSCAR_Bi2Ti2_1_st975,0.8,-0.8,0.0,True
POSCAR_Bi2Ti2_1_x050,1.007,-1.008,-0.001,True
POSCAR_Bi2Ti2_1_x975,0.925,-0.925,-0.0,True
POSCAR_Bi2Ti2_1_y025,0.972,-0.981,-0.008,True
POSCAR_Bi2Ti2_1_y050,1.024,-1.021,0.003,True
POSCAR_Bi2Ti2_1_y950,0.911,-0.91,0.001,True
