filename,ion1 tot
POSCAR_As2Mo2_4_x025,1.812
POSCAR_As2Mo2_4_x975,1.442
POSCAR_As2Mo2_4_y025,1.862
POSCAR_As2Mo2_4_z050,1.902
POSCAR_As2Mo2_4_z950,1.157
POSCAR_As2Mo2_4_z975,1.398
POSCAR_As2Nb2_2,0.006
POSCAR_As2Nb2_2_y025,0.002
POSCAR_As2Nb2_2_z950,0.003
POSCAR_As2Nb2_2_z975,0.001
POSCAR_As2Ni2_1,0.019
POSCAR_As2Ni2_1_x025,0.002
POSCAR_As2Ni2_1_x050,0.003
POSCAR_As2Ni2_1_x950,0
POSCAR_As2Ni2_1_x975,0.001
POSCAR_As2Ni2_1_y025,0.002
POSCAR_As2Ni2_1_y050,0.002
POSCAR_As2Ni2_1_y975,0.001
POSCAR_As2Ni2_1_z050,0.006
POSCAR_As2Ni2_1_z950,0
POSCAR_As2Ni2_1_z975,0.001
POSCAR_As2Ru2_2,1.052
POSCAR_As2Ru2_2_st025,1.184
POSCAR_As2Ru2_2_st050,1.471
POSCAR_As2Ru2_2_st950,0.824
POSCAR_As2Ru2_2_st975,0.923
POSCAR_As2Ru2_2_x025,1.145
POSCAR_As2Ru2_2_x050,1.246
POSCAR_As2Ru2_2_x950,1.095
POSCAR_As2Ru2_2_x975,1.04
POSCAR_As2Ru2_2_y025,1.085
POSCAR_As2Ru2_2_y950,1.121
POSCAR_As2Ru2_2_y975,1.044
POSCAR_As2Ru2_2_z025,1.138
POSCAR_As2Ru2_2_z050,1.31
POSCAR_As2Ru2_2_z950,0.865
POSCAR_As2Ru2_2_z975,0.952
POSCAR_As2V2_1,2.19
POSCAR_As2V2_1_st025,2.264
POSCAR_As2V2_1_st050,2.336
POSCAR_As2V2_1_st950,2.027
POSCAR_As2V2_1_st975,2.116
POSCAR_As2V2_1_x025,2.211
POSCAR_As2V2_1_x050,2.231
POSCAR_As2V2_1_x950,2.154
POSCAR_As2V2_1_x975,2.171
POSCAR_As2V2_1_y025,2.22
POSCAR_As2V2_1_y050,2.24
POSCAR_As2V2_1_y950,2.087
POSCAR_As2V2_1_y975,2.151
POSCAR_As2V2_1_z025,2.217
POSCAR_As2V2_1_z050,2.243
POSCAR_As2V2_1_z950,2.144
POSCAR_As2V2_1_z975,2.167
POSCAR_As2V2_2,2.237
POSCAR_As2V2_2_st025,2.339
