name,dir,status,ef,nelect,nkpts,nbands,n_pairs,n_kpts_used,sse_max,sse_p99,sse_p95,sse_p90,sse_p50,sse_mean_w,sse_kmax_mean_w,sse_max_over_p95,sse_max_win_both,sse_max_win_either,band,k_id,kx,ky,kz,e_up,e_dn,k_weight_at_max,eigenval,outcar
FeS|base,/scratch/e1398a04/Altermagnetism/FeS_conv/base,ok,6.1791,28,1446,48,2259,1446,1.3265519999999995,1.1419519999999999,0.8683550000000002,0.7185630000000005,0.21286000000000005,0.2977115192258358,0.39112203421807207,1.5276609220883155,1.3265519999999995,1.3265519999999995,14,1217,2.385131e-17,-0.2941176,0.4,5.856851,4.530299,0.0006920415,EIGENVAL,OUTCAR
FeS|k133,/scratch/e1398a04/Altermagnetism/FeS_conv/k133,ok,6.1924,28,3439,48,5280,3439,1.3531400000000007,1.181698,0.9118729999999999,0.7239310000000003,0.20982199999999995,0.30155192481841314,0.39628124562075295,1.483912781714121,1.3531400000000007,1.3531400000000007,14,2773,1.899121e-17,-0.2608696,0.3846154,5.990948,4.637808,0.0002908245,EIGENVAL,OUTCAR
FeS|k150,/scratch/e1398a04/Altermagnetism/FeS_conv/k150,ok,6.2117,28,5072,48,7620,5072,1.3287080000000007,1.1502160000000003,0.8767500000000004,0.7126169999999998,0.21533800000000003,0.3024550023154473,0.38997478522656953,1.5154924436840607,1.3287080000000007,1.3287080000000007,14,4215,2.139331e-17,-0.2692308,0.4,5.928162,4.599454,0.0001972387,EIGENVAL,OUTCAR
FeS|enc600,/scratch/e1398a04/Altermagnetism/FeS_conv/enc600,ok,6.1788,28,1446,48,2257,1446,1.3289710000000001,1.1449119999999997,0.8678920000000003,0.7199389999999992,0.2127270000000001,0.29767765633252047,0.3912301435606264,1.5312631064694682,1.3289710000000001,1.3289710000000001,14,1217,2.385131e-17,-0.2941176,0.4,5.856171,4.5272,0.0006920415,EIGENVAL,OUTCAR
FeS|enc625,/scratch/e1398a04/Altermagnetism/FeS_conv/enc625,ok,6.1788,28,1446,48,2257,1446,1.3267600000000002,1.1428000000000003,0.8679750000000004,0.7189649999999999,0.21297999999999995,0.2975528916919064,0.3909423200312367,1.5285693712376505,1.3267600000000002,1.3267600000000002,14,1217,2.385131e-17,-0.2941176,0.4,5.854628,4.527868,0.0006920415,EIGENVAL,OUTCAR
FeS|enc700,/scratch/e1398a04/Altermagnetism/FeS_conv/enc700,ok,6.1785,28,1446,48,2257,1446,1.3275109999999994,1.1434880000000005,0.8680440000000003,0.7190950000000003,0.21308600000000055,0.2976176629873689,0.39106031657101953,1.529313030215057,1.3275109999999994,1.3275109999999994,14,1217,2.385131e-17,-0.2941176,0.4,5.854602,4.527091,0.0006920415,EIGENVAL,OUTCAR
FeS|sig0005,/scratch/e1398a04/Altermagnetism/FeS_conv/sig0005,ok,6.1791,28,1446,48,2259,1446,1.3270870000000006,1.1423170000000002,0.8684419999999999,0.7189870000000003,0.21262800000000048,0.2977351151921411,0.39119524010040985,1.5281239276773817,1.3270870000000006,1.3270870000000006,14,1217,2.385131e-17,-0.2941176,0.4,5.857528,4.530441,0.0006920415,EIGENVAL,OUTCAR
FeS|sig002,/scratch/e1398a04/Altermagnetism/FeS_conv/sig002,ok,6.3234,28,1446,48,1940,1446,1.3263620000000005,1.158518,0.9025600000000003,0.7452839999999998,0.23075199999999985,0.3127103818784348,0.38043537920185455,1.4695554866158484,1.3263620000000005,1.3263620000000005,14,1217,2.385131e-17,-0.2941176,0.4,5.856352,4.52999,0.0006920415,EIGENVAL,OUTCAR
FeS|sig005,/scratch/e1398a04/Altermagnetism/FeS_conv/sig005,ok,6.3211,28,1446,48,1944,1446,1.3555020000000004,1.1833270000000002,0.9151099999999994,0.764869,0.2255950000000002,0.31606981014074054,0.38664727089662504,1.4812448776649816,1.3555020000000004,1.3555020000000004,14,1217,2.385131e-17,-0.2941176,0.4,5.877205,4.521703,0.0006920415,EIGENVAL,OUTCAR
FeS|tetra,/scratch/e1398a04/Altermagnetism/FeS_conv/tetra,ok,6.1797,28,1446,48,2260,1446,1.3176569999999996,1.134684,0.8644930000000004,0.7128830000000006,0.21552100000000074,0.2971710382692894,0.3899522812770471,1.5241962630119608,1.3176569999999996,1.3176569999999996,14,1217,2.385131e-17,-0.2941176,0.4,5.849029,4.531372,0.0006920415,EIGENVAL,OUTCAR
FeS|ediff1e7,/scratch/e1398a04/Altermagnetism/FeS_conv/ediff1e7,ok,6.1769,28,1446,48,2256,1446,1.355239,1.1684849999999996,0.8884419999999995,0.7289879999999993,0.20580599999999993,0.29929885058712785,0.39551445048053846,1.5254107752672665,1.355239,1.355239,14,1217,2.385131e-17,-0.2941176,0.4,5.877541,4.522302,0.0006920415,EIGENVAL,OUTCAR
FeS|ediff1e8,/scratch/e1398a04/Altermagnetism/FeS_conv/ediff1e8,ok,6.1768,28,1446,48,2257,1446,1.3551680000000008,1.1692540000000005,0.8878749999999993,0.7286960000000002,0.20549200000000045,0.2993780030491448,0.39581280307560934,1.5263049415739849,1.3551680000000008,1.3551680000000008,14,1217,2.385131e-17,-0.2941176,0.4,5.877538,4.52237,0.0006920415,EIGENVAL,OUTCAR
CoS|base,/scratch/e1398a04/Altermagnetism/CoS_conv/base,ok,6.7014,30,1460,32,4741,1460,1.082421,0.8214110000000003,0.5599699999999999,0.45616700000000066,0.08088800000000074,0.15641809346961394,0.2343475069055326,1.932998196331947,1.082421,1.082421,14,597,0.0,0.3333333,0.2222222,5.214143,6.296564,0.0006858711,EIGENVAL,OUTCAR
CoS|enc600,/scratch/e1398a04/Altermagnetism/CoS_conv/enc600,ok,6.7012,30,1460,32,4739,1460,1.0820470000000002,0.8216909999999995,0.5596290000000002,0.45577299999999976,0.08295799999999964,0.15660032230389775,0.23461678948445336,1.9335077345884504,1.0820470000000002,1.0820470000000002,14,705,0.0,-0.3333333,0.2222222,6.295702,5.213655,0.0006858711,EIGENVAL,OUTCAR
