#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 280  20
# Band-Index:    1
   4.47671    -12.365670    -12.365600
   4.50572    -12.287785    -12.287715
   4.53472    -12.205182    -12.205112
   4.56373    -12.117996    -12.117926
   4.59273    -12.026374    -12.026304
   4.62174    -11.930474    -11.930404
   4.65074    -11.830464    -11.830394
   4.67975    -11.726523    -11.726453
   4.70875    -11.618839    -11.618769
   4.73776    -11.507609    -11.507539
   4.76676    -11.393036    -11.392966
   4.79577    -11.275332    -11.275263
   4.82477    -11.154717    -11.154648
   4.85378    -11.031408    -11.031340
   4.88278    -10.905626    -10.905559
   4.91179    -10.777596    -10.777531
   4.94079    -10.647538    -10.647474
   4.96980    -10.515672    -10.515610
   4.99880    -10.382217    -10.382156
   5.02781    -10.247392    -10.247333
   5.05681    -10.111417    -10.111361
   5.08582     -9.974527     -9.974473
   5.11482     -9.836976     -9.836924
   5.14383     -9.699072     -9.699020
   5.17283     -9.561311     -9.561254
   5.20184     -9.436584     -9.436358
   5.20184     -9.166177     -9.165855
   5.23188     -9.261617     -9.261405
   5.26192     -9.406147     -9.405973
   5.29196     -9.555792     -9.555634
   5.32201     -9.706332     -9.706182
   5.35205     -9.856594     -9.856450
   5.38209    -10.006008    -10.005869
   5.41213    -10.154184    -10.154050
   5.44218    -10.300815    -10.300685
   5.47222    -10.445620    -10.445494
   5.50226    -10.588344    -10.588222
   5.53230    -10.728730    -10.728613
   5.56235    -10.866537    -10.866423
   5.59239    -11.001512    -11.001402
   5.62243    -11.133423    -11.133317
   5.65247    -11.262037    -11.261933
   5.68252    -11.387119    -11.387018
   5.71256    -11.508456    -11.508359
   5.74260    -11.625825    -11.625730
   5.77264    -11.739030    -11.738939
   5.80269    -11.847874    -11.847784
   5.83273    -11.952176    -11.952089
   5.86277    -12.051762    -12.051678
   5.89281    -12.146470    -12.146387
   5.92286    -12.236154    -12.236074
   5.95290    -12.320666    -12.320588
   5.98294    -12.399878    -12.399800
   6.01298    -12.473679    -12.473603
   6.04303    -12.541956    -12.541882
   6.07307    -12.604614    -12.604541
   6.10311    -12.661560    -12.661488
   6.13315    -12.712717    -12.712646
   6.16320    -12.758016    -12.757946
   6.19324    -12.797397    -12.797328
   6.22328    -12.830807    -12.830738
   6.25332    -12.858198    -12.858130
   6.28337    -12.879542    -12.879474
   6.31341    -12.894807    -12.894739
   6.34345    -12.903971    -12.903904
   6.37349    -12.907024    -12.906956
   6.37349    -12.907024    -12.906956
   6.40883    -12.902464    -12.902397
   6.44417    -12.888777    -12.888710
   6.47951    -12.865976    -12.865909
   6.51485    -12.834089    -12.834022
   6.55018    -12.793138    -12.793072
   6.58552    -12.743172    -12.743105
   6.62086    -12.684232    -12.684166
   6.65620    -12.616384    -12.616319
   6.69154    -12.539695    -12.539630
   6.72687    -12.454244    -12.454179
   6.76221    -12.360118    -12.360054
   6.79755    -12.257426    -12.257363
   6.83289    -12.146275    -12.146213
   6.86823    -12.026793    -12.026732
   6.90356    -11.899123    -11.899063
   6.93890    -11.763423    -11.763363
   6.97424    -11.619870    -11.619812
   7.00958    -11.468660    -11.468603
   7.04491    -11.310014    -11.309958
   7.08025    -11.144180    -11.144126
   7.11559    -10.971437    -10.971384
   7.15093    -10.792099    -10.792048
   7.18627    -10.606538    -10.606489
   7.22160    -10.415177    -10.415130
   7.25694    -10.218500    -10.218456
   7.29228    -10.017089    -10.017048
   7.32762     -9.811629     -9.811592
   7.36296     -9.602949     -9.602918
   7.39829     -9.392072     -9.392048
   7.43363     -9.180257     -9.180242
   7.46897     -8.969119     -8.969118
   7.50431     -8.760746     -8.760766
   7.53965     -8.557932     -8.557983
   7.57498     -8.364501     -8.364602
   7.61032     -8.185883     -8.186073
   7.64566     -8.030009     -8.030378
   7.68100     -7.909066     -7.909835
   7.71634     -7.840677     -7.842037
   7.75167     -7.824042     -7.825523
 
# Band-Index:    2
   7.75167     -7.741383     -7.739783
   7.71634     -7.751439     -7.749958
   7.68100     -7.758425     -7.757531
   7.64566     -7.750594     -7.750096
   7.61032     -7.733893     -7.733574
   7.57498     -7.711074     -7.710845
   7.53965     -7.683339     -7.683163
   7.50431     -7.651547     -7.651408
   7.46897     -7.616532     -7.616421
   7.43363     -7.579228     -7.579141
   7.39829     -7.540692     -7.540625
   7.36296     -7.502125     -7.502077
   7.32762     -7.464873     -7.464843
   7.29228     -7.430391     -7.430377
   7.25694     -7.400198     -7.400198
   7.22160     -7.375797     -7.375809
   7.18627     -7.358557     -7.358576
   7.15093     -7.349593     -7.349614
   7.11559     -7.349655     -7.349673
   7.08025     -7.359038     -7.359045
   7.04491     -7.377563     -7.377552
   7.00958     -7.404600     -7.404564
   6.97424     -7.439157     -7.439091
   6.93890     -7.479990     -7.479889
   6.90356     -7.525717     -7.525579
   6.86823     -7.574912     -7.574735
   6.83289     -7.626187     -7.625970
   6.79755     -7.678240     -7.677984
   6.76221     -7.729895     -7.729603
   6.72687     -7.780093     -7.779767
   6.69154     -7.827922     -7.827565
   6.65620     -7.872585     -7.872200
   6.62086     -7.913412     -7.913001
   6.58552     -7.949835     -7.949402
   6.55018     -7.981388     -7.980938
   6.51485     -8.007691     -8.007225
   6.47951     -8.028446     -8.027969
   6.44417     -8.043428     -8.042943
   6.40883     -8.052478     -8.051988
   6.37349     -8.055504     -8.055012
   6.37349     -8.055504     -8.055012
   6.34345     -8.057375     -8.056885
   6.31341     -8.062892     -8.062408
   6.28337     -8.071780     -8.071306
   6.25332     -8.083605     -8.083144
   6.22328     -8.097818     -8.097372
   6.19324     -8.113766     -8.113339
   6.16320     -8.130769     -8.130361
   6.13315     -8.148127     -8.147740
   6.10311     -8.165147     -8.164782
   6.07307     -8.181173     -8.180829
   6.04303     -8.195588     -8.195266
   6.01298     -8.207838     -8.207539
   5.98294     -8.217419     -8.217141
   5.95290     -8.223883     -8.223627
   5.92286     -8.226844     -8.226611
   5.89281     -8.225984     -8.225772
   5.86277     -8.221051     -8.220861
   5.83273     -8.211859     -8.211692
   5.80269     -8.198316     -8.198171
   5.77264     -8.180431     -8.180309
   5.74260     -8.158349     -8.158251
   5.71256     -8.132398     -8.132325
   5.68252     -8.103164     -8.103118
   5.65247     -8.071620     -8.071602
   5.62243     -8.039311     -8.039321
   5.59239     -8.008653     -8.008693
   5.56235     -7.983333     -7.983400
   5.53230     -7.968687     -7.968775
   5.50226     -7.971604     -7.971700
   5.47222     -7.999029     -7.999114
   5.44218     -8.054961     -8.055019
   5.41213     -8.138301     -8.138323
   5.38209     -8.244012     -8.243999
   5.35205     -8.366008     -8.365967
   5.32201     -8.499029     -8.498970
   5.29196     -8.639010     -8.638942
   5.26192     -8.782483     -8.782419
   5.23188     -8.923812     -8.923780
   5.20184     -9.018265     -9.018340
   5.20184     -9.409100     -9.409257
   5.17283     -9.285209     -9.285200
   5.14383     -9.150123     -9.150110
   5.11482     -9.017253     -9.017244
   5.08582     -8.888031     -8.888028
   5.05681     -8.764214     -8.764219
   5.02781     -8.648120     -8.648134
   4.99880     -8.542704     -8.542727
   4.96980     -8.451385     -8.451416
   4.94079     -8.377458     -8.377492
   4.91179     -8.323028     -8.323060
   4.88278     -8.287978     -8.288000
   4.85378     -8.269814     -8.269820
   4.82477     -8.264556     -8.264541
   4.79577     -8.267972     -8.267935
   4.76676     -8.276399     -8.276339
   4.73776     -8.286990     -8.286907
   4.70875     -8.297700     -8.297596
   4.67975     -8.307103     -8.306977
   4.65074     -8.314247     -8.314100
   4.62174     -8.318525     -8.318357
   4.59273     -8.319577     -8.319390
   4.56373     -8.317236     -8.317028
   4.53472     -8.311477     -8.311248
   4.50572     -8.302390     -8.302141
   4.47671     -8.290163     -8.289894
   4.44771     -8.275068     -8.274778
   4.41870     -8.257456     -8.257146
   4.38970     -8.237744     -8.237412
   4.36069     -8.216428     -8.216076
   4.33169     -8.194066     -8.193693
   4.30268     -8.171277     -8.170884
   4.27368     -8.148725     -8.148313
   4.24467     -8.127125     -8.126694
   4.21567     -8.107203     -8.106755
   4.18667     -8.089680     -8.089217
   4.15766     -8.075228     -8.074753
   4.12866     -8.064434     -8.063950
   4.09965     -8.057762     -8.057272
   4.07065     -8.055504     -8.055012
   4.07065     -8.055504     -8.055012
   4.03196     -8.056052     -8.055563
   3.99328     -8.057571     -8.057090
   3.95460     -8.059708     -8.059240
   3.91592     -8.061920     -8.061470
   3.87724     -8.063523     -8.063094
   3.83855     -8.063768     -8.063362
   3.79987     -8.061885     -8.061504
   3.76119     -8.057137     -8.056783
   3.72251     -8.048864     -8.048538
   3.68383     -8.036506     -8.036207
   3.64514     -8.019620     -8.019349
   3.60646     -7.997907     -7.997664
   3.56778     -7.971216     -7.971000
   3.52910     -7.939563     -7.939374
   3.49042     -7.903132     -7.902968
   3.45173     -7.862293     -7.862155
   3.41305     -7.817617     -7.817503
   3.37437     -7.769873     -7.769782
   3.33569     -7.720030     -7.719961
   3.29700     -7.669228     -7.669177
   3.25832     -7.618741     -7.618706
   3.21964     -7.569896     -7.569873
   3.18096     -7.523954     -7.523939
   3.14228     -7.481993     -7.481979
   3.10359     -7.444778     -7.444761
   3.06491     -7.412675     -7.412649
   3.02623     -7.385627     -7.385589
   2.98755     -7.363198     -7.363145
   2.94887     -7.344679     -7.344612
   2.91018     -7.329187     -7.329111
   2.87150     -7.315762     -7.315688
   2.83282     -7.303391     -7.303340
   2.79414     -7.290893     -7.290904
   2.75546     -7.276597     -7.276741
   2.71677     -7.257439     -7.257847
   2.67809     -7.227365     -7.228247
   2.63941     -7.179142     -7.180624
   2.60073     -7.123210     -7.125088
   2.56205     -7.096977     -7.098974
   2.56205     -9.751838     -9.751695
   2.54631     -9.749294     -9.749150
   2.53058     -9.741686     -9.741542
   2.51485     -9.729075     -9.728929
   2.49911     -9.711569     -9.711420
   2.48338     -9.689304     -9.689152
   2.46765     -9.662452     -9.662296
   2.45191     -9.631210     -9.631050
   2.43618     -9.595799     -9.595633
   2.42045     -9.556455     -9.556283
   2.40471     -9.513427     -9.513249
   2.38898     -9.466973     -9.466787
   2.37325     -9.417357     -9.417164
   2.35751     -9.364848     -9.364647
   2.34178     -9.309717     -9.309507
   2.32605     -9.252237     -9.252018
   2.31032     -9.192685     -9.192455
   2.29458     -9.131339     -9.131100
   2.27885     -9.068486     -9.068235
   2.26312     -9.004416     -9.004154
   2.24738     -8.939428     -8.939154
   2.23165     -8.873834     -8.873548
   2.21592     -8.807959     -8.807659
   2.20018     -8.742141     -8.741828
   2.18445     -8.676735     -8.676408
   2.16872     -8.612139     -8.611798
   2.15298     -8.548743     -8.548387
   2.13725     -8.486985     -8.486615
   2.12152     -8.427324     -8.426940
   2.10578     -8.370245     -8.369845
   2.09005     -8.316258     -8.315845
   2.07432     -8.265896     -8.265469
   2.05858     -8.219706     -8.219265
   2.04285     -8.178236     -8.177783
   2.02712     -8.142020     -8.141556
