#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  20
# Band-Index:    1
   0.37706     -6.967236     -6.967032
   0.40607     -6.862525     -6.862329
   0.43507     -6.750313     -6.750131
   0.46408     -6.635244     -6.635088
   0.49308     -6.521625     -6.521507
   0.52209     -6.413575     -6.413512
   0.55109     -6.315090     -6.315103
   0.58010     -6.229868     -6.229981
   0.60910     -6.160833     -6.161063
   0.63811     -6.109404     -6.109753
   0.66711     -6.075011     -6.075464
   0.69612     -6.055362     -6.055893
   0.72512     -6.047395     -6.047978
   0.75413     -6.048192     -6.048805
   0.78313     -6.055392     -6.056020
   0.81214     -6.067210     -6.067843
   0.84114     -6.082300     -6.082932
   0.87015     -6.099593     -6.100220
   0.89915     -6.118184     -6.118804
   0.92815     -6.137236     -6.137850
   0.95716     -6.155951     -6.156559
   0.98616     -6.173541     -6.174144
   1.01517     -6.189241     -6.189840
   1.04417     -6.202334     -6.202930
   1.07318     -6.212188     -6.212782
   1.10218     -6.218313     -6.218905
   1.13119     -6.220390     -6.220982
   1.13119     -6.220390     -6.220982
   1.16123     -6.218217     -6.218809
   1.19127     -6.211803     -6.212392
   1.22132     -6.201449     -6.202034
   1.25136     -6.187628     -6.188209
   1.28140     -6.170955     -6.171530
   1.31144     -6.152129     -6.152698
   1.34149     -6.131912     -6.132474
   1.37153     -6.111094     -6.111648
   1.40157     -6.090473     -6.091016
   1.43161     -6.070861     -6.071390
   1.46166     -6.053091     -6.053601
   1.49170     -6.038052     -6.038536
   1.52174     -6.026719     -6.027168
   1.55178     -6.020209     -6.020611
   1.58183     -6.019820     -6.020161
   1.61187     -6.027060     -6.027326
   1.64191     -6.043628     -6.043804
   1.67195     -6.071300     -6.071374
   1.70200     -6.111707     -6.111676
   1.73204     -6.166020     -6.165886
   1.76208     -6.234607     -6.234384
   1.79212     -6.316816     -6.316522
   1.82217     -6.410918     -6.410573
   1.85221     -6.514194     -6.513816
   1.88225     -6.623029     -6.622635
   1.91229     -6.732898     -6.732501
   1.94234     -6.838162     -6.837773
   1.97238     -6.931795     -6.931425
   2.00242     -7.005555     -7.005219
   2.03246     -7.051496     -7.051209
   2.06251     -7.064964     -7.064741
   2.09255     -7.046757     -7.046608
   2.12259     -7.002037     -7.001969
   2.15263     -6.937527     -6.937550
   2.18268     -6.859888     -6.860017
   2.21272     -6.775880     -6.776141
   2.24276     -6.694116     -6.694549
   2.27280     -6.628765     -6.629394
   2.30285     -6.602180     -6.602915
 
# Band-Index:    4
   2.30285     -6.121426     -6.120536
   2.27280     -6.094512     -6.093739
   2.24276     -6.028180     -6.027635
   2.21272     -5.944714     -5.944393
   2.18268     -5.857867     -5.857749
   2.15263     -5.775016     -5.775089
   2.12259     -5.700335     -5.700589
   2.09255     -5.636160     -5.636585
   2.06251     -5.583518     -5.584094
   2.03246     -5.542395     -5.543095
   2.00242     -5.511923     -5.512707
   1.97238     -5.490598     -5.491425
   1.94234     -5.476602     -5.477432
   1.91229     -5.468133     -5.468936
   1.88225     -5.463629     -5.464377
   1.85221     -5.461841     -5.462515
   1.82217     -5.461824     -5.462408
   1.79212     -5.462903     -5.463385
   1.76208     -5.464636     -5.465011
   1.73204     -5.466797     -5.467064
   1.70200     -5.469334     -5.469500
   1.67195     -5.472317     -5.472394
   1.64191     -5.475853     -5.475858
   1.61187     -5.480024     -5.479975
   1.58183     -5.484838     -5.484753
   1.55178     -5.490222     -5.490114
   1.52174     -5.496035     -5.495916
   1.49170     -5.502102     -5.501980
   1.46166     -5.508231     -5.508110
   1.43161     -5.514240     -5.514125
   1.40157     -5.519966     -5.519858
   1.37153     -5.525277     -5.525177
   1.34149     -5.530069     -5.529977
   1.31144     -5.534271     -5.534186
   1.28140     -5.537840     -5.537761
   1.25136     -5.540752     -5.540679
   1.22132     -5.543004     -5.542935
   1.19127     -5.544602     -5.544536
   1.16123     -5.545555     -5.545491
   1.13119     -5.545872     -5.545808
   1.13119     -5.545872     -5.545808
   1.10218     -5.545617     -5.545553
   1.07318     -5.544879     -5.544814
   1.04417     -5.543743     -5.543676
   1.01517     -5.542357     -5.542287
   0.98616     -5.540923     -5.540849
   0.95716     -5.539705     -5.539626
   0.92815     -5.539028     -5.538942
   0.89915     -5.539277     -5.539182
   0.87015     -5.540887     -5.540781
   0.84114     -5.544334     -5.544214
   0.81214     -5.550101     -5.549966
   0.78313     -5.558615     -5.558465
   0.75413     -5.570133     -5.569971
   0.72512     -5.584562     -5.584397
   0.69612     -5.601228     -5.601078
   0.66711     -5.618720     -5.618611
   0.63811     -5.635049     -5.635010
   0.60910     -5.648276     -5.648329
   0.58010     -5.657268     -5.657421
   0.55109     -5.661961     -5.662208
   0.52209     -5.663028     -5.663356
   0.49308     -5.661392     -5.661786
   0.46408     -5.657929     -5.658376
   0.43507     -5.653362     -5.653852
   0.40607     -5.648269     -5.648793
   0.37706     -5.643137     -5.643687
   0.34806     -5.638434     -5.639004
   0.31905     -5.634756     -5.635338
   0.29005     -5.633176     -5.633759
   0.26104     -5.636414     -5.636975
   0.23204     -5.653151     -5.653629
   0.20303     -5.702469     -5.702784
   0.17403     -5.785116     -5.785283
   0.14502     -5.883174     -5.883212
   0.11602     -5.986557     -5.986464
   0.08701     -6.088814     -6.088581
   0.05801     -6.182115     -6.181728
   0.02900     -6.253179     -6.252635
   0.00000     -6.281238     -6.280615
 
# Band-Index:    5
   0.00000     -5.577615     -5.578336
   0.02900     -5.577734     -5.578454
   0.05801     -5.578048     -5.578767
   0.08701     -5.578411     -5.579128
   0.11602     -5.578475     -5.579189
   0.14502     -5.577407     -5.578117
   0.17403     -5.572902     -5.573602
   0.20303     -5.557591     -5.558260
   0.23204     -5.515376     -5.515994
   0.26104     -5.448106     -5.448746
   0.29005     -5.375328     -5.376045
   0.31905     -5.305616     -5.306421
   0.34806     -5.241088     -5.241978
   0.37706     -5.181808     -5.182775
   0.40607     -5.127039     -5.128073
   0.43507     -5.075650     -5.076740
   0.46408     -5.026295     -5.027431
   0.49308     -4.977517     -4.978687
   0.52209     -4.927853     -4.929046
   0.55109     -4.876002     -4.877205
   0.58010     -4.871186     -4.872176
   0.60910     -4.869418     -4.870402
   0.63811     -4.867755     -4.868733
   0.66711     -4.866213     -4.867186
   0.69612     -4.864804     -4.865772
   0.72512     -4.863537     -4.864499
   0.75413     -4.862414     -4.863372
   0.78313     -4.861438     -4.862391
   0.81214     -4.860603     -4.861552
   0.84114     -4.859903     -4.860847
   0.87015     -4.859328     -4.860269
   0.89915     -4.858866     -4.859803
   0.92815     -4.858504     -4.859438
   0.95716     -4.858228     -4.859159
   0.98616     -4.858023     -4.858952
   1.01517     -4.857876     -4.858803
   1.04417     -4.857775     -4.858701
   1.07318     -4.857711     -4.858635
   1.10218     -4.857675     -4.858599
   1.13119     -4.857664     -4.858587
   1.13119     -4.857664     -4.858587
   1.16123     -4.857429     -4.858355
